"","found_taxa","rank","worms_sciname","tol_sp","ncbi_sp","approximate_match","is_synonym","flags","status","unacceptreason","valid_authority","worms_aphiaid","ncbi_uid","ott_id","class","order","family","genus","freshwater_only","terrestrial_only"
"4936","Cirrhitichthys oxycephalus","species","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus",FALSE,FALSE,"","accepted",NA,"(Bleeker, 1855)",218853,"342438",939740,"Actinopteri","Centrarchiformes","Cirrhitidae","Cirrhitichthys","0","0"
"4937","Heteropriacanthus cruentatus","species","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus",FALSE,FALSE,"","accepted",NA,"(Lacepède, 1801)",127004,"342441",314495,"Actinopteri","Eupercaria incertae sedis","Priacanthidae","Heteropriacanthus","0","0"
"4938","Mulloidichthys vanicolensis","species","Mulloidichthys vanicolensis","Mulloidichthys vanicolensis","Mulloidichthys vanicolensis",FALSE,FALSE,"","accepted",NA,"(Valenciennes, 1831)",218648,"342443",314503,"Actinopteri","Mulliformes","Mullidae","Mulloidichthys","0","0"
"4939","Ostracion meleagris","species","Ostracion meleagris","Ostracion meleagris","Ostracion meleagris",FALSE,FALSE,"","accepted",NA,"Shaw, 1796",219905,"342444",314508,"Actinopteri","Tetraodontiformes","Ostraciidae","Ostracion","0","0"
"4940","Thorichthys aureus","species","Thorichthys aureus","Thorichthys aureus","Thorichthys aureus",FALSE,FALSE,"","accepted",NA,"(Günther, 1862)",1021150,"342864",626339,"Actinopteri","Cichliformes","Cichlidae","Thorichthys","1","0"
"4941","Schizopyge dolichonema",NA,NA,"Schizopyge dolichonema","Schizopyge dolichonema",FALSE,FALSE,"",NA,NA,NA,NA,"343525",269461,NA,NA,NA,NA,NA,NA
"4942","Schizopyge nukiangensis",NA,NA,"Schizopyge nukiangensis","Schizopyge nukiangensis",FALSE,FALSE,"",NA,NA,NA,NA,"343526",269469,NA,NA,NA,NA,NA,NA
"4943","Schizothorax lantsangensis","species","Schizothorax lantsangensis","Schizothorax lantsangensis","Schizothorax lantsangensis",FALSE,FALSE,"","accepted",NA,"Tsao, 1964",1013513,"343527",269464,"Actinopteri","Cypriniformes","Cyprinidae","Schizothorax","1","0"
"4944","Schizothorax molesworthi","species","Schizothorax molesworthi","Schizothorax molesworthi","Schizothorax molesworthi",FALSE,FALSE,"","accepted",NA,"(Chaudhuri, 1913)",1017390,"343538",843919,"Actinopteri","Cypriniformes","Cyprinidae","Schizothorax","1","0"
"4945","Cynoglossus robustus","species","Cynoglossus robustus","Cynoglossus robustus","Cynoglossus robustus",FALSE,FALSE,"","accepted",NA,"Günther, 1873",274222,"345019",340743,"Actinopteri","Pleuronectiformes","Cynoglossidae","Cynoglossus","0","0"
"4946","Hypsoblennius ionthas","species","Hypsoblennius ionthas","Hypsoblennius ionthas","Hypsoblennius ionthas",FALSE,FALSE,"","accepted",NA,"(Jordan & Gilbert, 1882)",276327,"345252",219199,"Actinopteri","Blenniiformes","Blenniidae","Hypsoblennius","0","0"
"4947","Hypleurochilus springeri","species","Hypleurochilus springeri","Hypleurochilus springeri","Hypleurochilus springeri",FALSE,FALSE,"","accepted",NA,"Randall, 1966",276318,"345254",219192,"Actinopteri","Blenniiformes","Blenniidae","Hypleurochilus","0","0"
"4948","Entomacrodus nigricans","species","Entomacrodus nigricans","Entomacrodus nigricans","Entomacrodus nigricans",FALSE,FALSE,"","accepted",NA,"Gill, 1859",277249,"345255",219189,"Actinopteri","Blenniiformes","Blenniidae","Entomacrodus","0","0"
"4949","Trigonostigma espei","species","Trigonostigma espei","Trigonostigma espei","Trigonostigma espei",FALSE,FALSE,"","accepted",NA,"(Meinken, 1967)",1524546,"345260",742861,"Actinopteri","Cypriniformes","Cyprinidae","Trigonostigma","1","0"
