"","found_taxa","rank","worms_sciname","tol_sp","ncbi_sp","approximate_match","is_synonym","flags","status","unacceptreason","valid_authority","worms_aphiaid","ncbi_uid","ott_id","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Lampetra fluviatilis","species","Lampetra fluviatilis","Lampetra fluviatilis","Lampetra fluviatilis",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",101172,"7748",801627,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","0","0"
"2","Lampetra aepyptera","species","Lampetra aepyptera","Lampetra aepyptera","Lampetra aepyptera",FALSE,FALSE,"","accepted",NA,"(Abbott, 1860)",1026288,"7752",227507,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","1","0"
"3","Lethenteron reissneri","species","Lethenteron reissneri","Lethenteron reissneri","Lethenteron reissneri",FALSE,FALSE,"","accepted",NA,"(Dybowski, 1869)",298381,"7753",227501,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron","1",NA
"4","Mordacia mordax","species","Mordacia mordax","Mordacia mordax","Mordacia mordax",FALSE,FALSE,"","accepted",NA,"(Richardson, 1846)",281595,"7755",227490,"Petromyzonti","Petromyzontiformes","Mordaciidae","Mordacia","0","0"
"5","Petromyzon marinus","species","Petromyzon marinus","Petromyzon marinus","Petromyzon marinus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",101174,"7757",227494,"Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","0","0"
"6","Eptatretus burgeri","species","Eptatretus burgeri","Eptatretus burgeri","Eptatretus burgeri",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",279272,"7764",852668,"Myxini","Myxiniformes","Myxinidae","Eptatretus","0","0"
"7","Eptatretus okinoseanus","species","Eptatretus okinoseanus","Eptatretus okinoseanus","Eptatretus okinoseanus",FALSE,FALSE,"","accepted",NA,"(Dean, 1904)",279294,"7767",852674,"Myxini","Myxiniformes","Myxinidae","Eptatretus","0","0"
"8","Myxine glutinosa","species","Myxine glutinosa","Myxine glutinosa","Myxine glutinosa",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",101170,"7769",852683,"Myxini","Myxiniformes","Myxinidae","Myxine","0","0"
"9","Raja clavata","species","Raja clavata","Raja clavata","Raja clavata",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105883,"7781",493424,"Elasmobranchii","Rajiformes","Rajidae","Raja","0","0"
"10","Leucoraja erinacea","species","Leucoraja erinacea","Leucoraja erinacea","Leucoraja erinacea",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1825)",158551,"7782",493418,"Elasmobranchii","Rajiformes","Rajidae","Leucoraja","0","0"
"11","Torpedo marmorata","species","Torpedo marmorata","Torpedo marmorata","Torpedo marmorata",FALSE,FALSE,"sibling_higher","accepted",NA,"Risso, 1810",271684,"7788",493406,"Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","0","0"
"12","Heterodontus francisci","species","Heterodontus francisci","Heterodontus francisci","Heterodontus francisci",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",276694,"7792",1019121,"Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","0","0"
"13","Squalus acanthias","species","Squalus acanthias","Squalus acanthias","Squalus acanthias",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105923,"7797",1019126,"Elasmobranchii","Squaliformes","Squalidae","Squalus","0","0"
"14","Squalus suckleyi","species","Squalus suckleyi","Squalus suckleyi","Squalus suckleyi",FALSE,FALSE,"","accepted",NA,"(Girard, 1855)",299224,"7798",1019106,"Elasmobranchii","Squaliformes","Squalidae","Squalus","0","0"
"15","Ginglymostoma cirratum","species","Ginglymostoma cirratum","Ginglymostoma cirratum","Ginglymostoma cirratum",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105846,"7801",400227,"Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","0","0"
"16","Carcharhinus obscurus","species","Carcharhinus obscurus","Carcharhinus obscurus","Carcharhinus obscurus",FALSE,FALSE,"","accepted",NA,"(Lesueur, 1818)",105796,"7807",400238,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"17","Carcharhinus plumbeus","species","Carcharhinus plumbeus","Carcharhinus plumbeus","Carcharhinus plumbeus",FALSE,FALSE,"","accepted",NA,"(Nardo, 1827)",105797,"7808",400246,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"18","Carcharhinus porosus","species","Carcharhinus porosus","Carcharhinus porosus","Carcharhinus porosus",FALSE,FALSE,"","accepted",NA,"(Ranzani, 1839)",217342,"7810",976349,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0"
"19","Mustelus canis","species","Mustelus canis","Mustelus canis","Mustelus canis",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1815)",158518,"7812",976343,"Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","0","0"
"20","Prionace glauca","species","Prionace glauca","Prionace glauca","Prionace glauca",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",105801,"7815",361523,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","0","0"
"21","Galeocerdo cuvier","species","Galeocerdo cuvier","Galeocerdo cuvier","Galeocerdo cuvier",FALSE,FALSE,"","accepted",NA,"(Péron & Lesueur, 1822)",105799,"7819",976355,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo","0","0"
"22","Negaprion brevirostris","species","Negaprion brevirostris","Negaprion brevirostris","Negaprion brevirostris",FALSE,FALSE,"","accepted",NA,"(Poey, 1868)",105800,"7821",450137,"Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion","0","0"
"23","Sphyrna lewini","species","Sphyrna lewini","Sphyrna lewini","Sphyrna lewini",FALSE,FALSE,"","accepted",NA,"(Griffith & Smith, 1834)",105816,"7823",450134,"Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","0","0"
"24","Sphyrna tiburo","species","Sphyrna tiburo","Sphyrna tiburo","Sphyrna tiburo",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",158517,"7824",218666,"Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","0","0"
"25","Scyliorhinus canicula","species","Scyliorhinus canicula","Scyliorhinus canicula","Scyliorhinus canicula",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",105814,"7830",1026500,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","0","0"
"26","Echinorhinus cookei","species","Echinorhinus cookei","Echinorhinus cookei","Echinorhinus cookei",FALSE,FALSE,"","accepted",NA,"Pietschmann, 1928",271656,"7834",1026510,"Elasmobranchii","Echinorhiniformes","Echinorhinidae","Echinorhinus","0","0"
"27","Isurus paucus","species","Isurus paucus","Isurus paucus","Isurus paucus",FALSE,FALSE,"","accepted",NA,"Guitart, 1966",105840,"7847",500598,"Elasmobranchii","Lamniformes","Lamnidae","Isurus","0","0"
"28","Lamna nasus","species","Lamna nasus","Lamna nasus","Lamna nasus",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105841,"7849",500593,"Elasmobranchii","Lamniformes","Lamnidae","Lamna","0","0"
"29","Alopias vulpinus","species","Alopias vulpinus","Alopias vulpinus","Alopias vulpinus",FALSE,FALSE,"","accepted",NA,"(Bonnaterre, 1788)",105836,"7852",1077204,"Elasmobranchii","Lamniformes","Alopiidae","Alopias","0","0"
"30","Notorynchus cepedianus","species","Notorynchus cepedianus","Notorynchus cepedianus","Notorynchus cepedianus",FALSE,FALSE,"","accepted",NA,"(Péron, 1807)",217628,"7857",290409,"Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","0","0"
"31","Pseudobatos lentiginosus","species","Pseudobatos lentiginosus","Pseudobatos lentiginosus","Pseudobatos lentiginosus",FALSE,FALSE,"","accepted",NA,"(Garman, 1880)",1043479,"7862",550653,"Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos","0","0"
"32","Callorhinchus callorynchus","species","Callorhinchus callorynchus","Callorhinchus callorynchus","Callorhinchus callorynchus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",278468,"7867",550636,"Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","0","0"
"33","Callorhinchus milii","species","Callorhinchus milii","Callorhinchus milii","Callorhinchus milii",FALSE,FALSE,"","accepted",NA,"Bory de Saint-Vincent, 1823",278469,"7868",550662,"Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","0","0"
"34","Chimaera monstrosa","species","Chimaera monstrosa","Chimaera monstrosa","Chimaera monstrosa",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",105824,"7871",29489,"Holocephali","Chimaeriformes","Chimaeridae","Chimaera","0","0"
"35","Hydrolagus colliei","species","Hydrolagus colliei","Hydrolagus colliei","Hydrolagus colliei",FALSE,FALSE,"extinct_inherited, incertae_sedis","accepted",NA,"(Lay & Bennett, 1839)",271406,"7873",29493,"Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","0","0"
"36","Lepidosiren paradoxa","species","Lepidosiren paradoxa","Lepidosiren paradoxa","Lepidosiren paradoxa",FALSE,FALSE,"","accepted",NA,"Fitzinger, 1837",1019375,"7883",199346,"Dipneusti","Ceratodontiformes","Lepidosirenidae","Lepidosiren","1","0"
"37","Protopterus aethiopicus","species","Protopterus aethiopicus","Protopterus aethiopicus","Protopterus aethiopicus",FALSE,FALSE,"","accepted",NA,"Heckel, 1851",1021560,"7886",199355,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"38","Protopterus","genus","Protopterus","Protopterus","Protopterus",FALSE,FALSE,"","accepted",NA,"Owen, 1839",270544,"7887",199350,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"39","Protopterus annectens","species","Protopterus annectens","Protopterus annectens","Protopterus annectens",FALSE,FALSE,"","accepted",NA,"(Owen, 1839)",1021564,"7888",199334,"Dipneusti","Ceratodontiformes","Protopteridae","Protopterus","1","0"
"40","Neoceratodus forsteri","species","Neoceratodus forsteri","Neoceratodus forsteri","Neoceratodus forsteri",FALSE,FALSE,"","accepted",NA,"(Krefft, 1870)",1421405,"7892",773500,"Dipneusti","Ceratodontiformes","Neoceratodontidae","Neoceratodus","1","1"
"41","Latimeria chalumnae","species","Latimeria chalumnae","Latimeria chalumnae","Latimeria chalumnae",FALSE,FALSE,"extinct_inherited, incertae_sedis","accepted",NA,"Smith, 1939",217438,"7897",773491,"Coelacanthi","Coelacanthiformes","Latimeriidae","Latimeria","0","0"
"42","Acipenser gueldenstaedtii","species","Acipenser gueldenstaedtii","Acipenser gueldenstaedtii","Acipenser gueldenstaedtii",FALSE,FALSE,"","accepted",NA,"Brandt & Ratzeburg, 1833",126275,"7902",378912,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"43","Acipenser stellatus","species","Acipenser stellatus","Acipenser stellatus","Acipenser stellatus",FALSE,FALSE,"","accepted",NA,"Pallas, 1771",126278,"7903",378920,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"44","Acipenser transmontanus","species","Acipenser transmontanus","Acipenser transmontanus","Acipenser transmontanus",FALSE,FALSE,"","accepted",NA,"Richardson, 1836",238345,"7904",378925,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"45","Acipenser ruthenus","species","Acipenser ruthenus","Acipenser ruthenus","Acipenser ruthenus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",233941,"7906",378930,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"46","Acipenser brevirostrum","species","Acipenser brevirostrum","Acipenser brevirostrum","Acipenser brevirostrum",FALSE,FALSE,"","accepted",NA,"Lesueur, 1818",157869,"7907",82746,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"47","Acipenser medirostris","species","Acipenser medirostris","Acipenser medirostris","Acipenser medirostris",FALSE,FALSE,"","accepted",NA,"Ayres, 1854",271695,"7908",378900,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","0","0"
"48","Scaphirhynchus platorynchus","species","Scaphirhynchus platorynchus","Scaphirhynchus platorynchus","Scaphirhynchus platorynchus",FALSE,FALSE,"","accepted",NA,"(Rafinesque, 1820)",1022840,"7910",904110,"Actinopteri","Acipenseriformes","Acipenseridae","Scaphirhynchus","1","0"
"49","Polyodon spathula","species","Polyodon spathula","Polyodon spathula","Polyodon spathula",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",994653,"7913",904101,"Actinopteri","Acipenseriformes","Polyodontidae","Polyodon","1","0"
"50","Atractosteus spatula","species","Atractosteus spatula","Atractosteus spatula","Atractosteus spatula",FALSE,FALSE,"","accepted",NA,"(Lacepède, 1803)",279822,"7917",904117,"Actinopteri","Lepisosteiformes","Lepisosteidae","Atractosteus","0","0"
"51","Lepisosteus oculatus","species","Lepisosteus oculatus","Lepisosteus oculatus","Lepisosteus oculatus",FALSE,FALSE,"","accepted",NA,"Winchell, 1864",275402,"7918",1028028,"Actinopteri","Lepisosteiformes","Lepisosteidae","Lepisosteus","0","0"
"52","Amia calva","species","Amia calva","Amia calva","Amia calva",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1766",157877,"7924",329623,"Actinopteri","Amiiformes","Amiidae","Amia","1","0"
"53","Elops saurus","species","Elops saurus","Elops saurus","Elops saurus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1766",157875,"7928",329631,"Actinopteri","Elopiformes","Elopidae","Elops","0","0"
"54","Megalops atlanticus","species","Megalops atlanticus","Megalops atlanticus","Megalops atlanticus",FALSE,FALSE,"","accepted",NA,"Valenciennes, 1847",126430,"7932",854190,"Actinopteri","Elopiformes","Megalopidae","Megalops","0","0"
"55","Anguilla anguilla","species","Anguilla anguilla","Anguilla anguilla","Anguilla anguilla",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126281,"7936",854201,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","0","0"
"56","Anguilla japonica","species","Anguilla japonica","Anguilla japonica","Anguilla japonica",FALSE,FALSE,"","accepted",NA,"Temminck & Schlegel, 1846",271705,"7937",854198,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","0","0"
"57","Anguilla rostrata","species","Anguilla rostrata","Anguilla rostrata","Anguilla rostrata",FALSE,FALSE,"","accepted",NA,"(Lesueur, 1817)",158562,"7938",854212,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","0","0"
"58","Anguilla marmorata","species","Anguilla marmorata","Anguilla marmorata","Anguilla marmorata",FALSE,FALSE,"","accepted",NA,"Quoy & Gaimard, 1824",217457,"7939",854208,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","0","0"
"59","Anguilla australis","species","Anguilla australis","Anguilla australis","Anguilla australis",FALSE,FALSE,"","accepted",NA,"Richardson, 1841",293541,"7940",479860,"Actinopteri","Anguilliformes","Anguillidae","Anguilla","0","0"
"60","Conger myriaster","species","Conger myriaster","Conger myriaster","Conger myriaster",FALSE,FALSE,"","accepted",NA,"(Brevoort, 1856)",271745,"7943",479867,"Actinopteri","Anguilliformes","Congridae","Conger","0","0"
"61","Muraenesox cinereus","species","Muraenesox cinereus","Muraenesox cinereus","Muraenesox cinereus",FALSE,FALSE,"","accepted",NA,"(Forsskål, 1775)",126296,"7946",479856,"Actinopteri","Anguilliformes","Muraenesocidae","Muraenesox","0","0"
"62","Clupea harengus","species","Clupea harengus","Clupea harengus","Clupea harengus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",126417,"7950",1005932,"Actinopteri","Clupeiformes","Clupeidae","Clupea","0","0"
"63","Danio rerio","species","Danio rerio","Danio rerio","Danio rerio",FALSE,FALSE,"","accepted",NA,"(Hamilton, 1822)",1026595,"7955",1005914,"Actinopteri","Cypriniformes","Cyprinidae","Danio","1","0"
"64","Carassius auratus","species","Carassius auratus","Carassius auratus","Carassius auratus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",154298,"7957",1005907,"Actinopteri","Cypriniformes","Cyprinidae","Carassius","0","0"
"65","Ctenopharyngodon idella","species","Ctenopharyngodon idella","Ctenopharyngodon idella","Ctenopharyngodon idella",FALSE,FALSE,"","accepted",NA,"(Valenciennes, 1844)",154314,"7959",1005936,"Actinopteri","Cypriniformes","Cyprinidae","Ctenopharyngodon","0","0"
"66","Cyprinus carpio","species","Cyprinus carpio","Cyprinus carpio","Cyprinus carpio",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",154582,"7962",429083,"Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","0","0"
"67","Hypophthalmichthys nobilis","species","Hypophthalmichthys nobilis","Hypophthalmichthys nobilis","Hypophthalmichthys nobilis",FALSE,FALSE,"","accepted",NA,"(Richardson, 1845)",154600,"7965",429101,"Actinopteri","Cypriniformes","Cyprinidae","Hypophthalmichthys","0","0"
"68","Catostomus commersonii","species","Catostomus commersonii","Catostomus commersonii","Catostomus commersonii",FALSE,FALSE,"","accepted",NA,"(Lacepède, 1803)",158707,"7971",955101,"Actinopteri","Cypriniformes","Catostomidae","Catostomus","0","0"
"69","Ictiobus bubalus","species","Ictiobus bubalus","Ictiobus bubalus","Ictiobus bubalus",FALSE,FALSE,"","accepted",NA,"(Rafinesque, 1818)",1022862,"7973",955109,"Actinopteri","Cypriniformes","Catostomidae","Ictiobus","1","0"
"70","Formosania lacustris","species","Formosania lacustris","Formosania lacustris","Formosania lacustris",FALSE,FALSE,"","accepted",NA,"(Steindachner, 1908)",1026435,"7980",178200,"Actinopteri","Cypriniformes","Balitoridae","Formosania","1","0"
"71","Megaleporinus elongatus","species","Megaleporinus elongatus","Megaleporinus elongatus","Megaleporinus elongatus",FALSE,FALSE,"","accepted",NA,"(Valenciennes, 1850)",1418661,"7988",178213,"Actinopteri","Characiformes","Anostomidae","Megaleporinus","1","0"
"72","Astyanax mexicanus","species","Astyanax mexicanus","Astyanax mexicanus","Astyanax mexicanus",FALSE,FALSE,"","accepted",NA,"(De Filippi, 1853)",1021604,"7994",701518,"Actinopteri","Characiformes","Characidae","Astyanax","1","0"
"73","Ictalurus punctatus","species","Ictalurus punctatus","Ictalurus punctatus","Ictalurus punctatus",FALSE,FALSE,"","accepted",NA,"(Rafinesque, 1818)",465537,"7998",701523,"Actinopteri","Siluriformes","Ictaluridae","Ictalurus","1","0"
"74","Pangasius pangasius","species","Pangasius pangasius","Pangasius pangasius","Pangasius pangasius",FALSE,FALSE,"","accepted",NA,"(Hamilton, 1822)",281982,"8001",216174,"Actinopteri","Siluriformes","Pangasiidae","Pangasius","0","0"
"75","Electrophorus electricus","species","Electrophorus electricus","Electrophorus electricus","Electrophorus electricus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1766)",1014794,"8005",216168,"Actinopteri","Gymnotiformes","Gymnotidae","Electrophorus","1","0"
"76","Esox lucius","species","Esox lucius","Esox lucius","Esox lucius",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",154210,"8010",739941,"Actinopteri","Esociformes","Esocidae","Esox","0","0"
"77","Osmerus mordax","species","Osmerus mordax","Osmerus mordax","Osmerus mordax",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1814)",126737,"8014",739935,"Actinopteri","Osmeriformes","Osmeridae","Osmerus","0","0"
"78","Oncorhynchus gorbuscha","species","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",127182,"8017",739927,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","0","0"
"79","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus keta",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",127183,"8018",739921,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","0","0"
"80","Oncorhynchus kisutch","species","Oncorhynchus kisutch","Oncorhynchus kisutch","Oncorhynchus kisutch",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",127184,"8019",739917,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","0","0"
"81","Oncorhynchus masou","species","Oncorhynchus masou","Oncorhynchus masou","Oncorhynchus masou",FALSE,FALSE,"","accepted",NA,"(Brevoort, 1856)",293637,"8020",982404,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","0","0"
"82","Oncorhynchus masou ishikawae",NA,NA,"Oncorhynchus masou ishikawae","Oncorhynchus masou ishikawae",FALSE,FALSE,"infraspecific",NA,NA,NA,NA,"8021",982414,NA,NA,NA,NA,NA,NA
"83","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus nerka","Oncorhynchus nerka",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",254569,"8023",165375,"Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","0","0"
"84","Salmo salar","species","Salmo salar","Salmo salar","Salmo salar",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",127186,"8030",688328,"Actinopteri","Salmoniformes","Salmonidae","Salmo","0","0"
"85","Salmo trutta","species","Salmo trutta","Salmo trutta","Salmo trutta",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",127187,"8032",688332,"Actinopteri","Salmoniformes","Salmonidae","Salmo","0","0"
"86","Salvelinus leucomaenis","species","Salvelinus leucomaenis","Salvelinus leucomaenis","Salvelinus leucomaenis",FALSE,FALSE,"","accepted",NA,"(Pallas, 1814)",293725,"8034",688317,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","0","0"
"87","Salvelinus leucomaenis pluvius",NA,NA,"Salvelinus leucomaenis pluvius","Salvelinus leucomaenis pluvius",FALSE,FALSE,"infraspecific",NA,NA,NA,NA,"8035",688314,NA,NA,NA,NA,NA,NA
"88","Salvelinus alpinus","species","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",127188,"8036",688324,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","0","0"
"89","Salvelinus confluentus","species","Salvelinus confluentus","Salvelinus confluentus","Salvelinus confluentus",FALSE,FALSE,"","accepted",NA,"(Suckley, 1859)",274352,"8037",688321,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","0","0"
"90","Salvelinus fontinalis","species","Salvelinus fontinalis","Salvelinus fontinalis","Salvelinus fontinalis",FALSE,FALSE,"","accepted",NA,"(Mitchill, 1814)",154241,"8038",688339,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","0","0"
"91","Salvelinus malma","species","Salvelinus malma","Salvelinus malma","Salvelinus malma",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",254570,"8039",688336,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","0","0"
"92","Salvelinus namaycush","species","Salvelinus namaycush","Salvelinus namaycush","Salvelinus namaycush",FALSE,FALSE,"","accepted",NA,"(Walbaum, 1792)",567548,"8040",114152,"Actinopteri","Salmoniformes","Salmonidae","Salvelinus","1","0"
"93","Parahucho perryi","species","Parahucho perryi","Parahucho perryi","Parahucho perryi",FALSE,FALSE,"","accepted",NA,"(Brevoort, 1856)",320038,"8042",114156,"Actinopteri","Salmoniformes","Salmonidae","Parahucho","0","0"
"94","Eleginus gracilis","species","Eleginus gracilis","Eleginus gracilis","Eleginus gracilis",FALSE,FALSE,"","accepted",NA,"(Tilesius, 1810)",254537,"8047",114166,"Actinopteri","Gadiformes","Gadidae","Eleginus","0","0"
"95","Gadus ogac",NA,NA,"Gadus ogac","Gadus ogac",FALSE,FALSE,"",NA,NA,NA,NA,"8052",635898,NA,NA,NA,NA,NA,NA
"96","Melanogrammus aeglefinus","species","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126437,"8056",635904,"Actinopteri","Gadiformes","Gadidae","Melanogrammus","0","0"
"97","Merlangius merlangus","species","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126438,"8058",635911,"Actinopteri","Gadiformes","Gadidae","Merlangius","0","0"
"98","Pollachius virens","species","Pollachius virens","Pollachius virens","Pollachius virens",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126441,"8060",62649,"Actinopteri","Gadiformes","Gadidae","Pollachius","0","0"
"99","Merluccius merluccius","species","Merluccius merluccius","Merluccius merluccius","Merluccius merluccius",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1758)",126484,"8063",62642,"Actinopteri","Gadiformes","Merlucciidae","Merluccius","0","0"
"100","Opsanus tau","species","Opsanus tau","Opsanus tau","Opsanus tau",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1766)",158782,"8068",62631,"Actinopteri","Batrachoidiformes","Batrachoididae","Opsanus","0","0"
"101","Lophius americanus","species","Lophius americanus","Lophius americanus","Lophius americanus",FALSE,FALSE,"","accepted",NA,"Valenciennes, 1837",159184,"8073",583642,"Actinopteri","Lophiiformes","Lophiidae","Lophius","0","0"
"102","Lophius piscatorius","species","Lophius piscatorius","Lophius piscatorius","Lophius piscatorius",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",126555,"8074",583649,"Actinopteri","Lophiiformes","Lophiidae","Lophius","0","0"
"103","Fundulus heteroclitus","species","Fundulus heteroclitus","Fundulus heteroclitus","Fundulus heteroclitus",FALSE,FALSE,"","accepted",NA,"(Linnaeus, 1766)",159306,"8078",583633,"Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","0","0"
"104","Poecilia reticulata","species","Poecilia reticulata","Poecilia reticulata","Poecilia reticulata",FALSE,FALSE,"","accepted",NA,"Peters, 1859",154400,"8081",312452,"Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","0","0"
"105","Xiphophorus maculatus","species","Xiphophorus maculatus","Xiphophorus maculatus","Xiphophorus maculatus",FALSE,FALSE,"","accepted",NA,"(Günther, 1866)",862549,"8083",416852,"Actinopteri","Cyprinodontiformes","Poeciliidae","Xiphophorus","1","0"
"106","Xiphophorus hellerii","species","Xiphophorus hellerii","Xiphophorus hellerii","Xiphophorus hellerii",FALSE,FALSE,"","accepted",NA,"Heckel, 1848",283197,"8084",312435,"Actinopteri","Cyprinodontiformes","Poeciliidae","Xiphophorus","0","0"
"107","Xiphophorus xiphidium","species","Xiphophorus xiphidium","Xiphophorus xiphidium","Xiphophorus xiphidium",FALSE,FALSE,"","accepted",NA,"(Gordon, 1932)",1015734,"8086",312440,"Actinopteri","Cyprinodontiformes","Poeciliidae","Xiphophorus","1","0"
"108","Oryzias latipes","species","Oryzias latipes","Oryzias latipes","Oryzias latipes",FALSE,FALSE,"","accepted",NA,"(Temminck & Schlegel, 1846)",281941,"8090",942673,"Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","0","0"
"109","Hemitripterus americanus","species","Hemitripterus americanus","Hemitripterus americanus","Hemitripterus americanus",FALSE,FALSE,"","accepted",NA,"(Gmelin, 1789)",159518,"8094",160287,NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus","0","0"
"110","Hemitripterus americanus","species","Hemitripterus americanus","Hemitripterus americanus","Hemitripterus americanus",FALSE,FALSE,"","unaccepted",NA,"(Gmelin, 1789)",159518,"8094",160287,NA,"Scorpaeniformes","Hemitripteridae","Hemitripterus","0","0"
"111","Myoxocephalus aenaeus","species","Myoxocephalus aenaeus","Myoxocephalus aenaeus","Myoxocephalus aenaeas",FALSE,TRUE,"","accepted",NA,"(Mitchill, 1814)",159519,"8096",942663,"Actinopteri","Perciformes","Cottidae","Myoxocephalus","0","0"
