"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Clupea pallasii","Clupea pallasii","species",151159,33891,4284072,421318,"Clupea pallasii","Clupea pallasii","Clupea pallasii","Clupea pallasii Valenciennes, 1847","Chordata","accepted",NA,FALSE,"","Valenciennes, 1847","Animalia","Actinopteri","Clupeiformes","Clupeidae","Clupea","0","0"
"2","Engraulis mordax","Engraulis mordax","species",272286,33922,2414024,29754,"Engraulis mordax","Engraulis mordax","Engraulis mordax","Engraulis mordax Girard, 1854","Chordata","accepted",NA,FALSE,"","Girard, 1854","Animalia","Actinopteri","Clupeiformes","Engraulidae","Engraulis","0","0"
"3","Gadus chalcogrammus","Gadus chalcogrammus","species",300735,360473,2415769,1056842,"Gadus chalcogrammus","Gadus chalcogrammus","Gadus chalcogrammus","Gadus chalcogrammus Pallas, 1814","Chordata","accepted",NA,FALSE,"","Pallas, 1814","Animalia","Actinopteri","Gadiformes","Gadidae","Gadus","0","0"
"4","Gadus macrocephalus","Gadus macrocephalus","species",254538,19837,2415853,56885,"Gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus","Gadus macrocephalus Tilesius, 1810","Chordata","accepted",NA,FALSE,"","Tilesius, 1810","Animalia","Actinopteri","Gadiformes","Gadidae","Gadus","0","0"
"5","Microgadus proximus","Microgadus proximus","species",275873,15708,2415888,56889,"Microgadus proximus","Microgadus proximus","Microgadus proximus","Microgadus proximus (Girard, 1854)","Chordata","accepted",NA,FALSE,"","(Girard, 1854)","Animalia","Actinopteri","Gadiformes","Gadidae","Microgadus","0","0"
"6","Merluccius productus","Merluccius productus","species",272458,11764,2415676,183169,"Merluccius productus","Merluccius productus","Merluccius productus","Merluccius productus (Ayres, 1855)","Chordata","accepted",NA,FALSE,"","(Ayres, 1855)","Animalia","Actinopteri","Gadiformes","Merlucciidae","Merluccius","0","0"
"7","Gobiesox maeandricus","Gobiesox maeandricus","species",275671,125653,2411287,622499,"Gobiesox maeandricus","Gobiesox maeandricus","Gobiesox maeandricus","Gobiesox maeandricus (Girard, 1858)","Chordata","accepted",NA,FALSE,"","(Girard, 1858)","Animalia","Actinopteri","Gobiesociformes","Gobiesocidae","Gobiesox","0","0"
"8","Rimicola muscarum","Rimicola muscarum","species",282617,99728,5214482,584437,"Rimicola muscarum","Rimicola muscarum","Rimicola muscarum","Rimicola muscarum (Meek & Pierson, 1895)","Chordata","accepted",NA,FALSE,"","(Meek & Pierson, 1895)","Animalia","Actinopteri","Gobiesociformes","Gobiesocidae","Rimicola","0","0"
"9","Rhinogobiops nicholsii","Rhinogobiops nicholsii","species",282580,125449,2376636,494025,"Rhinogobiops nicholsii","Rhinogobiops nicholsii","Rhinogobiops nicholsii","Rhinogobiops nicholsii (Bean, 1882)","Chordata","accepted",NA,FALSE,"","(Bean, 1882)","Animalia","Actinopteri","Gobiiformes","Gobiidae","Rhinogobiops","0","0"
"10","Lepidogobius lepidus","Lepidogobius lepidus","species",281292,125624,2379182,387080,"Lepidogobius lepidus","Lepidogobius lepidus","Lepidogobius lepidus","Lepidogobius lepidus (Girard, 1858)","Chordata","accepted",NA,FALSE,"","(Girard, 1858)","Animalia","Actinopteri","Gobiiformes","Gobiidae","Lepidogobius","0","0"
"11","Hypomesus pretiosus","Hypomesus pretiosus","species",279422,125619,2410871,227596,"Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus (Girard, 1854)","Chordata","accepted",NA,FALSE,"","(Girard, 1854)","Animalia","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","0","0"
"12","Thaleichthys pacificus","Thaleichthys pacificus","species",282959,10698,2410903,555682,"Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus (Richardson, 1836)","Chordata","accepted",NA,FALSE,"","(Richardson, 1836)","Animalia","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","0","0"
"13","Amphistichus rhodoterus","Amphistichus rhodoterus","species",279596,76472,2389252,698628,"Amphistichus rhodoterus","Amphistichus rhodoterus","Amphistichus rhodoterus","Amphistichus rhodoterus (Agassiz, 1854)","Chordata","accepted",NA,FALSE,"incertae_sedis_inherited","(Agassiz, 1854)","Animalia","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Amphistichus","0","0"
"14","Brachyistius frenatus","Brachyistius frenatus","species",240721,99711,2389277,29170,"Brachyistius frenatus","Brachyistius frenatus","Brachyistius frenatus","Brachyistius frenatus Gill, 1862","Chordata","accepted",NA,FALSE,"incertae_sedis_inherited","Gill, 1862","Animalia","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Brachyistius","0","0"
