"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"2445","Temnohaswellia pearsoni","Temnohaswellia pearsoni","species",NA,906025,4859372,3664858,NA,"Temnohaswellia pearsoni","Temnohaswellia pearsoni","Temnohaswellia pearsoni Sewell, Cannon & Blair, 2006","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2446","Temnohaswellia simulator","Temnohaswellia simulator","species",NA,906021,4859380,3664899,NA,"Temnohaswellia simulator","Temnohaswellia simulator","Temnohaswellia simulator (Haswell, 1924)","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2447","Temnohaswellia subulata","Temnohaswellia subulata","species",NA,906019,4859369,3664920,NA,"Temnohaswellia subulata","Temnohaswellia subulata","Temnohaswellia subulata Sewell, Cannon & Blair, 2006","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2448","Temnohaswellia umbella","Temnohaswellia umbella","species",NA,906023,4859373,3664905,NA,"Temnohaswellia umbella","Temnohaswellia umbella","Temnohaswellia umbella Sewell, Cannon & Blair, 2006","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2449","Temnohaswellia verruca","Temnohaswellia verruca","species",NA,906024,4859377,3664913,NA,"Temnohaswellia verruca","Temnohaswellia verruca","Temnohaswellia verruca Sewell, Cannon & Blair, 2006","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2450","Diphyllobothrium tetrapterum","Diphyllobothrium tetrapterum","species",989167,905384,2505906,5134245,"Diphyllobothrium tetrapterum","Diphyllobothrium tetrapterum","Diphyllobothrium tetrapterum","Diphyllobothrium tetrapterum (von Siebold, 1848)","Platyhelminthes","Cestoda","Eucestoda","Diphyllobothriidea","Diphyllobothriidae","Diphyllobothrium","Diphyllobothrium tetrapterum",793,1051,104909,515793,104937,105012,989167,"(von Siebold, 1848)",FALSE,"sibling_higher"
"2451","Serpentirhabdias viperidicus","Serpentirhabdias viperidicus","species",NA,897728,9444093,6163681,NA,"Serpentirhabdias viperidicus","Serpentirhabdias viperidicus","Serpentirhabdias viperidicus Morais, Aguiar, Müller, Narciso, Silva & Silva, 2016","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2452","Deladenustobei","Deladenustobei",NA,NA,NA,NA,7075230,NA,"Deladenus nitobei",NA,NA,"Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2453","Ichtyobronema hamulatum","Ichtyobronema hamulatum",NA,NA,NA,NA,7074180,NA,"Ichtyobronema hamulatum",NA,NA,"Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2454","Skrjabillanus tincae","Skrjabillanus tincae","species",NA,897734,4556926,3588527,NA,"Skrjabillanus tincae","Skrjabillanus tincae","Skrjabillanus tincae Shigin & Shigina, 1958","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2455","Oestergrenia digitata","Oestergrenia digitata",NA,152547,NA,NA,431591,"Oestergrenia digitata","Oestergrenia digitata",NA,NA,"Echinodermata","Holothuroidea","Paractinopoda","Apodida","Synaptidae","Oestergrenia","Oestergrenia digitata",1806,123083,1393260,123108,123182,152546,152547,"(Montagu, 1815)",FALSE,""
