"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"8930","Cantopotamon hengqinense","Cantopotamon hengqinense","species",NA,934684,9320726,7117536,NA,"Cantopotamon hengqinense","Cantopotamon hengqinense","Cantopotamon hengqinense C.Huang, Ahyong & H.-T.Shih, 2017","Arthropoda",NA,NA,NA,"Potamidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8931","Cantopotamon shangchuanense","Cantopotamon shangchuanense","species",NA,934685,9447115,7117537,NA,"Cantopotamon shangchuanense","Cantopotamon shangchuanense","Cantopotamon shangchuanense C.Huang, Ahyong & H.-T.Shih, 2017","Arthropoda",NA,NA,NA,"Potamidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8932","Cantopotamon yangxiense","Cantopotamon yangxiense","species",NA,934686,9259021,7117538,NA,"Cantopotamon yangxiense","Cantopotamon yangxiense","Cantopotamon yangxiense C.Huang, Ahyong & H.-T.Shih, 2017","Arthropoda",NA,NA,NA,"Potamidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8933","Tubuca alcocki","Tubuca alcocki","species",1214518,934429,9694764,7117896,"Tubuca alcocki","Tubuca alcocki","Tubuca alcocki","Tubuca alcocki H.-T.Shih, B.K.K.Chan & P.K.L.Ng, 2018","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca alcocki",1065,1071,1086,1130,106773,955064,1214518,"H.-T. Shih, B.K.K. Chan & P.K.L. Ng, 2018",FALSE,""
"8934","Epigrapsustatus","Epigrapsustatus",NA,NA,NA,NA,5819578,NA,"Epigrapsus notatus",NA,NA,"Arthropoda",NA,NA,NA,"Gecarcinidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8935","Helice epicure","Helice epicure","species",1246356,934650,9760383,7117858,"Helice epicure","Helice epicure","Helice epicure","Helice epicure N.K.Ng, Naruse & H.-T.Shih, 2018","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Varunidae","Helice","Helice epicure",1065,1071,1086,1130,439140,204620,1246356,"N.K. Ng, Naruse & H.-T. Shih, 2018",FALSE,""
"8936","Panulirus brunneiflagellum","Panulirus brunneiflagellum","species",382892,973887,4309373,106170,"Panulirus brunneiflagellum","Panulirus brunneiflagellum","Panulirus brunneiflagellum","Panulirus brunneiflagellum Sekiguchi & George, 2005","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Palinuridae","Panulirus","Panulirus brunneiflagellum",1065,1071,1086,1130,106794,107060,382892,"Sekiguchi & RW George, 2005",FALSE,""
"8937","Lyurella shepsiensis","Lyurella shepsiensis",NA,NA,NA,NA,5810057,NA,"Lyurella shepsiensis",NA,NA,"Arthropoda",NA,NA,NA,"Crangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8938","Synurella wachuschtii","Synurella wachuschtii","species",NA,683768,8444809,2984140,NA,"Synurella wachuschtii","Synurella wachuschtii","Synurella wachuschtii (Behning, 1940)","Arthropoda",NA,NA,NA,"Crangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8939","Myomenippe fornasinii","Myomenippe fornasinii","species",211055,276381,4377520,2980626,"Myomenippe fornasinii","Myomenippe fornasinii","Myomenippe fornasinii","Myomenippe fornasinii (Bianconi, 1851)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Menippidae","Myomenippe","Myomenippe fornasinii",1065,1071,1086,1130,196163,206521,211055,"(Bianconi, 1851)",FALSE,""
"8940","Engaeus quadrimanus","Engaeus quadrimanus","species",NA,650854,4648539,787876,NA,"Engaeus quadrimanus","Engaeus quadrimanus","Engaeus quadrimanus Clark, 1936","Arthropoda",NA,NA,NA,"Parastacidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8941","Mictyris longicarpus","Mictyris longicarpus","species",444980,276376,4647809,449916,"Mictyris longicarpus","Mictyris longicarpus","Mictyris longicarpus","Mictyris longicarpus Latreille, 1806","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Mictyridae","Mictyris","Mictyris longicarpus",1065,1071,1086,1130,439156,439492,444980,"Latreille, 1806",FALSE,""
"8942","Cyclograpsus granulosus","Cyclograpsus granulosus","species",444712,69710,4644705,2981439,"Cyclograpsus granulosus","Cyclograpsus granulosus","Cyclograpsus granulosus","Cyclograpsus granulosus H.Milne Edwards, 1853","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Varunidae","Cyclograpsus","Cyclograpsus granulosus",1065,1071,1086,1130,439140,206652,444712,"H. Milne Edwards, 1853",FALSE,""
"8943","Petrolisthes haswelli","Petrolisthes haswelli","species",414638,683792,4647233,2976024,"Petrolisthes haswelli","Petrolisthes haswelli","Petrolisthes haswelli","Petrolisthes haswelli Miers, 1884","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Porcellanidae","Petrolisthes","Petrolisthes haswelli",1065,1071,1086,1130,106734,206848,414638,"Miers, 1884",FALSE,""
"8944","Clibanarius infraspinatus","Clibanarius infraspinatus","species",208690,674530,4311775,2975651,"Clibanarius infraspinatus","Clibanarius infraspinatus","Clibanarius infraspinatus","Clibanarius infraspinatus (Hilgendorf, 1869)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius infraspinatus",1065,1071,1086,1130,106736,106841,208690,"(Hilgendorf, 1869)",FALSE,""
"8945","Pseudoniphargus sorbasiensis","Pseudoniphargus sorbasiensis","species",NA,931978,4416959,2982276,NA,"Pseudoniphargus sorbasiensis","Pseudoniphargus sorbasiensis","Pseudoniphargus sorbasiensis Notenboom, 1987","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
