"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"3980","Crenavolva striatula","Crenavolva striatula","species",216903,328825,4361043,78229,"Crenavolva striatula","Crenavolva striatula","Crenavolva striatula","Crenavolva striatula (G.B.Sowerby I, 1828)","Mollusca","accepted",NA,FALSE,"","(G. B. Sowerby I, 1828)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Crenavolva","0","0"
"3981","Crenavolva traillii","Crenavolva traillii","species",430691,328823,6489680,2893503,"Crenavolva traillii","Crenavolva traillii","Crenavolva traillii","Crenavolva traillii (A.Adams, 1856)","Mollusca","accepted",NA,FALSE,"","(A. Adams, 1856)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Crenavolva","0","0"
"3982","Cymbovula acicularis","Cymbovula acicularis","species",419725,507887,2301294,369409,"Cymbovula acicularis","Cymbovula acicularis","Cymbovula acicularis","Cymbovula acicularis (Lamarck, 1810)","Mollusca","accepted",NA,FALSE,"","(Lamarck, 1810)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Cymbovula","0","0"
"3983","Cyphoma gibbosum","Cyphoma gibbosum","species",432297,31204,5192687,391833,"Cyphoma gibbosum","Cyphoma gibbosum","Cyphoma gibbosum","Cyphoma gibbosum (Linnaeus, 1758)","Mollusca","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Cyphoma","0","0"
"3984","Cyphoma signatum","Cyphoma signatum","species",419732,754034,5192693,391833,"Cyphoma signatum","Cyphoma gibbosum","Cyphoma signatum","Cyphoma signatum Pilsbry & McGinty, 1939","Mollusca","accepted",NA,TRUE,"","Pilsbry & McGinty, 1939","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Cyphoma","0","0"
"3985","Cyphoma","Cyphoma","genus",394147,6380,2301273,391832,"Cyphoma","Cyphoma","Cyphoma","Cyphoma Röding, 1798","Mollusca","accepted",NA,FALSE,"","Röding, 1798","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Cyphoma","0","0"
"3986","Dentiovula colobica","Dentiovula colobica","species",430779,328820,6489754,513578,"Dentiovula colobica","Dentiovula colobica","Dentiovula colobica","Dentiovula colobica (Azuma & C.N.Cate, 1971)","Mollusca","accepted",NA,FALSE,"","(Azuma & C. N. Cate, 1971)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Dentiovula","0","0"
"3987","Diminovula alabaster","Diminovula alabaster","species",430607,328844,4611121,661042,"Diminovula alabaster","Diminovula alabaster","Diminovula alabaster","Diminovula alabaster (Reeve, 1865)","Mollusca","accepted",NA,FALSE,"","(Reeve, 1865)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Diminovula","0","0"
"3988","Habuprionovolva aenigma","Habuprionovolva aenigma","species",430577,328859,5856770,661040,"Habuprionovolva aenigma","Habuprionovolva aenigma","Habuprionovolva aenigma","Habuprionovolva aenigma (Azuma & C.N.Cate, 1971)","Mollusca","accepted",NA,FALSE,"","(Azuma & C. N. Cate, 1971)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Habuprionovolva","0","0"
"3989","Hiatavolva coarctata","Hiatavolva coarctata",NA,NA,NA,NA,2919882,NA,"Hiatavolva coarctata",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
