"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"19","Eteone fauchaldi","Eteone fauchaldi","species",NA,807533,5195385,4983723,NA,"Hypereteone fauchaldi","Eteone fauchaldi","Eteone fauchaldi Kravitz & Jones, 1979","Annelida","Polychaeta",NA,NA,"Phyllodocidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"20","Eteone pacifica","Eteone pacifica","species",254735,801770,5195136,4983560,"Eteone pacifica","Eteone pacifica","Eteone pacifica","Eteone pacifica Hartman, 1936","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eteone","Eteone pacifica",882,883,754174,892,931,129443,254735,"Hartman, 1936",FALSE,"sibling_higher"
"21","Eteone spilotus","Eteone spilotus","species",327538,899741,5195152,4983562,"Eteone spilotus","Eteone spilotus","Eteone spilotus","Eteone spilotus Kravitz & Jones, 1979","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eteone","Eteone spilotus",882,883,754174,892,931,129443,327538,"Kravitz & Jones, 1979",FALSE,"sibling_higher"
"22","Eulalia californiensis","Eulalia californiensis","species",1251228,981030,9809397,4983651,"Eulalia californiensis","Eulalia californiensis","Eulalia californiensis","Eulalia californiensis (Hartman, 1936)","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eulalia","Eulalia californiensis",882,883,754174,892,931,129445,1251228,"(Hartman, 1936)",FALSE,"sibling_higher"
"23","Eulalia quadrioculata","Eulalia quadrioculata","species",327601,495345,5195295,7488912,"Eulalia quadrioculata","Eulalia quadrioculata","Eulalia quadrioculata","Eulalia quadrioculata Moore, 1906","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eulalia","Eulalia quadrioculata",882,883,754174,892,931,129445,327601,"Moore, 1906",FALSE,"sibling_higher"
"24","Notophyllum imbricatum","Notophyllum imbricatum","species",330025,808496,2312339,4983336,"Notophyllum imbricatum","Notophyllum imbricatum","Notophyllum imbricatum","Notophyllum imbricatum Moore, 1906","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Notophyllum","Notophyllum imbricatum",882,883,754174,892,931,129452,330025,"Moore, 1906",FALSE,"sibling_higher"
"25","Phyllodoce groenlandica","Phyllodoce groenlandica","species",334506,212285,5195037,956736,"Phyllodoce groenlandica","Phyllodoce groenlandica","Phyllodoce groenlandica","Phyllodoce groenlandica Örsted, 1842","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce groenlandica",882,883,754174,892,931,129455,334506,"Örsted, 1842",FALSE,""
"26","Phyllodoce hartmanae","Phyllodoce hartmanae","species",330596,889974,5195110,4983469,"Phyllodoce hartmanae","Phyllodoce hartmanae","Phyllodoce hartmanae","Phyllodoce hartmanae Blake & Walton, 1977","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce hartmanae",882,883,754174,892,931,129455,330596,"Blake & Walton, 1977",FALSE,""
"27","Phyllodoce medipapillata","Phyllodoce medipapillata","species",334511,269963,5195087,112844,"Phyllodoce medipapillata","Phyllodoce medipapillata","Phyllodoce medipapillata","Phyllodoce medipapillata Moore, 1909","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce medipapillata",882,883,754174,892,931,129455,334511,"Moore, 1909",FALSE,""
"28","Pterocirrus parvoseta","Pterocirrus parvoseta","species",334691,807528,2312219,4983578,"Pterocirrus parvoseta","Pterocirrus parvoseta","Pterocirrus parvoseta","Pterocirrus parvoseta (Banse & Hobson, 1968)","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Pterocirrus","Pterocirrus parvoseta",882,883,754174,892,931,129458,334691,"(Banse & Hobson, 1968)",FALSE,""
