"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"29","Nereis","Nereis","genus",129379,160009,2308106,305738,"Nereis","Nereis","Nereis","Nereis Linnaeus, 1758","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Linnaeus, 1758","Animalia","Phyllodocida","Nereididae","Nereis","0","0"
"30","Platynereis bicanaliculata","Platynereis bicanaliculata","species",334557,205751,2315944,112860,"Platynereis bicanaliculata","Platynereis bicanaliculata","Platynereis bicanaliculata","Platynereis bicanaliculata (Baird, 1863)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Baird, 1863)","Animalia","Phyllodocida","Nereididae","Platynereis","0","0"
"31","Platynereis","Platynereis","genus",129381,30440,2315898,268486,"Platynereis","Platynereis","Platynereis","Platynereis Kinberg, 1865","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Kinberg, 1865","Animalia","Phyllodocida","Nereididae","Platynereis","0","0"
"32","Pholoe","Pholoe",NA,NA,NA,NA,398717,NA,"Pholoe",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Pholoidae",NA,NA,NA
"33","Pholoides asperus","Pholoides asperus",NA,NA,NA,NA,961522,NA,"Pholoides asperus",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Pholoidae",NA,NA,NA
"34","Eteone fauchaldi","Hypereteone fauchaldi",NA,NA,NA,NA,4983723,NA,"Hypereteone fauchaldi",NA,NA,"Annelida","Polychaeta",NA,NA,TRUE,"",NA,NA,NA,"Phyllodocidae",NA,NA,NA
"35","Eteone pacifica","Eteone pacifica","species",254735,801770,5195136,4983560,"Eteone pacifica","Eteone pacifica","Eteone pacifica","Eteone pacifica Hartman, 1936","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Hartman, 1936","Animalia","Phyllodocida","Phyllodocidae","Eteone","0","0"
"36","Eteone spilotus","Eteone spilotus","species",327538,899741,5195152,4983562,"Eteone spilotus","Eteone spilotus","Eteone spilotus","Eteone spilotus Kravitz & Jones, 1979","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Kravitz & Jones, 1979","Animalia","Phyllodocida","Phyllodocidae","Eteone","0","0"
"37","Eteone","Eteone","genus",129443,190324,2311842,890243,"Eteone","Eteone","Eteone","Eteone Savigny, 1822","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Savigny, 1822","Animalia","Phyllodocida","Phyllodocidae","Eteone","0","0"
"38","Eulalia californiensis","Eulalia californiensis","species",1251228,981030,9809397,4983651,"Eulalia californiensis","Eulalia californiensis","Eulalia californiensis","Eulalia californiensis (Hartman, 1936)","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","(Hartman, 1936)","Animalia","Phyllodocida","Phyllodocidae","Eulalia","0","0"
"39","Eulalia quadrioculata","Eulalia quadrioculata","species",327601,495345,5195295,7488912,"Eulalia quadrioculata","Eulalia quadrioculata","Eulalia quadrioculata","Eulalia quadrioculata Moore, 1906","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Moore, 1906","Animalia","Phyllodocida","Phyllodocidae","Eulalia","0","0"
"40","Eulalia","Eulalia","genus",129445,195081,NA,369884,"Eulalia","Eulalia (genus in Opisthokonta)","Eulalia",NA,"Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Savigny, 1822","Animalia","Phyllodocida","Phyllodocidae","Eulalia","0","0"
"41","Nereiphylla","Nereiphylla","genus",129451,205814,2312409,713588,"Nereiphylla","Nereiphylla","Nereiphylla","Nereiphylla Blainville, 1828","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Blainville, 1828","Animalia","Phyllodocida","Phyllodocidae","Nereiphylla","0","0"
"42","Notophyllum imbricatum","Notophyllum imbricatum","species",330025,808496,2312339,4983336,"Notophyllum imbricatum","Notophyllum imbricatum","Notophyllum imbricatum","Notophyllum imbricatum Moore, 1906","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Moore, 1906","Animalia","Phyllodocida","Phyllodocidae","Notophyllum","0","0"
"43","Phyllodoce groenlandica","Phyllodoce groenlandica","species",334506,212285,5195037,956736,"Phyllodoce groenlandica","Phyllodoce groenlandica","Phyllodoce groenlandica","Phyllodoce groenlandica Örsted, 1842","Annelida","Polychaeta","accepted",NA,FALSE,"","Örsted, 1842","Animalia","Phyllodocida","Phyllodocidae","Phyllodoce","0","0"
"44","Phyllodoce hartmanae","Phyllodoce hartmanae","species",330596,889974,5195110,4983469,"Phyllodoce hartmanae","Phyllodoce hartmanae","Phyllodoce hartmanae","Phyllodoce hartmanae Blake & Walton, 1977","Annelida","Polychaeta","accepted",NA,FALSE,"","Blake & Walton, 1977","Animalia","Phyllodocida","Phyllodocidae","Phyllodoce","0","0"
"45","Phyllodoce medipapillata","Phyllodoce medipapillata","species",334511,269963,5195087,112844,"Phyllodoce medipapillata","Phyllodoce medipapillata","Phyllodoce medipapillata","Phyllodoce medipapillata Moore, 1909","Annelida","Polychaeta","accepted",NA,FALSE,"","Moore, 1909","Animalia","Phyllodocida","Phyllodocidae","Phyllodoce","0","0"
"46","Pterocirrus parvoseta","Pterocirrus parvoseta","species",334691,807528,2312219,4983578,"Pterocirrus parvoseta","Pterocirrus parvoseta","Pterocirrus parvoseta","Pterocirrus parvoseta (Banse & Hobson, 1968)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Banse & Hobson, 1968)","Animalia","Phyllodocida","Phyllodocidae","Pterocirrus","0","0"
"47","Arctonoe fragilis","Arctonoe fragilis","species",333029,205749,2313794,365763,"Arctonoe fragilis","Arctonoe fragilis","Arctonoe fragilis","Arctonoe fragilis (Baird, 1863)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Baird, 1863)","Animalia","Phyllodocida","Polynoidae","Arctonoe","0","0"
"48","Arctonoe pulchra","Arctonoe pulchra","species",333030,193553,2313790,258822,"Arctonoe pulchra","Arctonoe pulchra","Arctonoe pulchra","Arctonoe pulchra (Johnson, 1897)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Johnson, 1897)","Animalia","Phyllodocida","Polynoidae","Arctonoe","0","0"
"49","Arctonoe vittata","Arctonoe vittata","species",254301,205763,2313797,365749,"Arctonoe vittata","Arctonoe vittata","Arctonoe vittata","Arctonoe vittata (Grube, 1855)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Grube, 1855)","Animalia","Phyllodocida","Polynoidae","Arctonoe","0","0"
"50","Arctonoe","Arctonoe","genus",254300,151103,2313789,718759,"Arctonoe","Arctonoe","Arctonoe","Arctonoe Chamberlin, 1920","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Chamberlin, 1920","Animalia","Phyllodocida","Polynoidae","Arctonoe","0","0"
"51","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","species",333489,808436,2315134,4984239,"Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides","Gaudichaudius iphionelloides (Johnson, 1901)","Annelida","Polychaeta","accepted",NA,FALSE,"unplaced_inherited","(Johnson, 1901)","Animalia","Phyllodocida","Polynoidae","Gaudichaudius","0","0"
"52","Halosydna brevisetosa","Halosydna brevisetosa","species",333534,214476,2315083,494968,"Halosydna brevisetosa","Halosydna brevisetosa","Halosydna brevisetosa","Halosydna brevisetosa Kinberg, 1856","Annelida","Polychaeta","accepted",NA,FALSE,"","Kinberg, 1856","Animalia","Phyllodocida","Polynoidae","Halosydna","0","0"
"53","Halosydna","Halosydna","genus",152404,100805,2315066,494969,"Halosydna","Halosydna","Halosydna","Halosydna Kinberg, 1856","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Kinberg, 1856","Animalia","Phyllodocida","Polynoidae","Halosydna","0","0"
