"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"10140","Ophiclinus gabrieli","Ophiclinus gabrieli","species",281893,799309,2380230,3639221,"Ophiclinus gabrieli","Ophiclinus gabrieli","Ophiclinus gabrieli","Ophiclinus gabrieli Waite, 1906","Chordata","Actinopteri","Teleostei","Blenniiformes","Clinidae","Ophiclinus","Ophiclinus gabrieli",1821,843664,293496,1517542,125530,270098,281893,"Waite, 1906",FALSE,""
"10141","Ophiclinops pardalis","Ophiclinops pardalis","species",281889,799310,2380245,3639263,"Ophiclinops pardalis","Ophiclinops pardalis","Ophiclinops pardalis","Ophiclinops pardalis (McCulloch & Waite, 1918)","Chordata","Actinopteri","Teleostei","Blenniiformes","Clinidae","Ophiclinops","Ophiclinops pardalis",1821,843664,293496,1517542,125530,270097,281889,"(McCulloch & Waite, 1918)",FALSE,""
"10142","Rhinogobio ventralis","Rhinogobio ventralis","species",NA,705458,2359778,701266,NA,"Rhinogobio ventralis","Rhinogobio ventralis","Rhinogobio ventralis Sauvage & Dabry de Thiersant, 1874","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10143","Brachyhypopomus brevirostris","Brachyhypopomus brevirostris","species",NA,786098,2401803,451152,NA,"Brachyhypopomus brevirostris","Brachyhypopomus brevirostris","Brachyhypopomus brevirostris (Steindachner, 1868)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10144","Hypopomus artedi","Hypopomus artedi","species",NA,759172,2401779,748416,NA,"Hypopomus artedi","Hypopomus artedi","Hypopomus artedi (Kaup, 1856)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10145","Hypopygus lepturus","Hypopygus lepturus","species",NA,511253,2401764,738867,NA,"Hypopygus lepturus","Hypopygus lepturus","Hypopygus lepturus Hoedeman, 1962","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10146","Akawaio penak","Akawaio penak","species",NA,705210,7435125,5340041,NA,"Akawaio penak","Akawaio penak","Akawaio penak Maldonado-Ocampo, López-Fernández, Taphorn, Bernard, Crampton & Lovejoy, 2013","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10147","Racenisia fimbriipinna","Racenisia fimbriipinna","species",NA,748952,2401768,3621720,NA,"Racenisia fimbriipinna","Racenisia fimbriipinna","Racenisia fimbriipinna Mago-Leccia, 1994","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10148","Steatogenys elegans","Steatogenys elegans","species",NA,511264,2401771,164259,NA,"Steatogenys elegans","Steatogenys elegans","Steatogenys elegans (Steindachner, 1880)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10149","Rhamphichthys rostratus","Rhamphichthys rostratus","species",NA,511263,2401929,748412,NA,"Rhamphichthys rostratus","Rhamphichthys rostratus","Rhamphichthys rostratus (Linnaeus, 1766)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10150","Rhodeus sinensis","Rhodeus sinensis","species",275344,751531,2360841,185860,"Rhodeus sinensis","Rhodeus sinensis","Rhodeus sinensis","Rhodeus sinensis Günther, 1868","Chordata","Actinopteri","Teleostei","Cypriniformes","Cyprinidae","Rhodeus","Rhodeus sinensis",1821,843664,293496,154156,154163,154330,275344,"Günther, 1868",FALSE,""
"10151","Rhinobatos hynnicephalus","Rhinobatos hynnicephalus","species",271598,708447,2419048,520113,"Rhinobatos hynnicephalus","Rhinobatos hynnicephalus","Rhinobatos hynnicephalus","Rhinobatos hynnicephalus Richardson, 1846","Chordata","Elasmobranchii","Neoselachii","Rhinopristiformes","Rhinobatidae","Rhinobatos","Rhinobatos hynnicephalus",1821,10193,368407,1042840,105712,105769,271598,"Richardson, 1846",FALSE,""
"10152","Alburnus chalcoides","Alburnus chalcoides","species",307757,495779,2362973,631550,"Alburnus chalcoides","Alburnus chalcoides","Alburnus chalcoides","Alburnus chalcoides (Güldenstädt, 1772)","Chordata","Actinopteri","Teleostei","Cypriniformes","Cyprinidae","Alburnus","Alburnus chalcoides",1821,843664,293496,154156,154163,154284,307757,"(Güldenstädt, 1772)",FALSE,""
"10153","Ictalurus pricei","Ictalurus pricei","species",NA,319883,5202521,759346,NA,"Ictalurus pricei","Ictalurus pricei","Ictalurus pricei (Rutter, 1896)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10154","Belonophago tinanti","Belonophago tinanti","species",NA,681643,2355890,3624650,NA,"Belonophago tinanti","Belonophago tinanti","Belonophago tinanti Poll, 1939","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10155","Distichodustospilus","Distichodustospilus",NA,NA,NA,NA,885064,NA,"Distichodus notospilus",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10156","Distichodus petersii","Distichodus petersii","species",NA,681644,2355946,3624606,NA,"Distichodus petersii","Distichodus petersii","Distichodus petersii Pfeffer, 1896","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10157","Distichodus teugelsi","Distichodus teugelsi","species",NA,460388,2355918,3624608,NA,"Distichodus teugelsi","Distichodus teugelsi","Distichodus teugelsi Mamonekene & Vreven, 2008","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10158","Phago intermedius","Phago intermedius","species",NA,460397,2355813,3624475,NA,"Phago intermedius","Phago intermedius","Phago intermedius Boulenger, 1899","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10159","Xenocharax crassus","Xenocharax crassus","species",NA,681647,2355840,5555182,NA,"Xenocharax crassus","Xenocharax crassus","Xenocharax crassus Pellegrin, 1900","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10160","Nannocharax altus","Nannocharax altus","species",NA,681648,2355877,3624628,NA,"Nannocharax altus","Nannocharax altus","Nannocharax altus Pellegrin, 1930","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10161","Nannocharax ansorgii","Nannocharax ansorgii","species",NA,681649,2355867,3624621,NA,"Nannocharax ansorgii","Nannocharax ansorgii","Nannocharax ansorgii Boulenger, 1911","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10162","Nannocharax brevis","Nannocharax brevis","species",NA,681650,2355865,3624624,NA,"Nannocharax brevis","Nannocharax brevis","Nannocharax brevis Boulenger, 1902","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10163","Nannocharax fasciatus","Nannocharax fasciatus","species",NA,500900,2355851,3624642,NA,"Nannocharax fasciatus","Nannocharax fasciatus","Nannocharax fasciatus Günther, 1867","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10164","Nannocharax hollyi","Nannocharax hollyi","species",NA,681651,2355862,3624632,NA,"Nannocharax hollyi","Nannocharax hollyi","Nannocharax hollyi Fowler, 1936","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10165","Nannocharax occidentalis","Nannocharax occidentalis","species",NA,681652,2355880,3624634,NA,"Nannocharax occidentalis","Nannocharax occidentalis","Nannocharax occidentalis Daget, 1959","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10166","Paradistichodus dimidiatus","Paradistichodus dimidiatus","species",NA,681655,2355817,3625819,NA,"Paradistichodus dimidiatus","Paradistichodus dimidiatus","Paradistichodus dimidiatus (Pellegrin, 1904)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10167","Ichthyborus quadrilineatus","Ichthyborus quadrilineatus","species",NA,85841,2355898,3624473,NA,"Ichthyborus quadrilineatus","Ichthyborus quadrilineatus","Ichthyborus quadrilineatus (Pellegrin, 1904)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10168","Ichthyborus besse","Ichthyborus besse","species",NA,681656,4287060,3624474,NA,"Ichthyborus besse","Ichthyborus besse","Ichthyborus besse (Joannis, 1835)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10169","Hemistichodus mesmaekersi","Hemistichodus mesmaekersi","species",NA,460396,2355803,3624618,NA,"Hemistichodus mesmaekersi","Hemistichodus mesmaekersi","Hemistichodus mesmaekersi Poll, 1959","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
