"","name","rank","phylum","class","subclass","order","family","genus","species"
"1","Lycodes pacificus","species","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes pacificus"
"2","Lumpenus sagitta","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta"
"3","Engraulis mordax","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"4","Phytichthys chirus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Phytichthys","Phytichthys chirus"
"5","Artedius lateralis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius lateralis"
"6","Bathymaster caeruleofasciatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Bathymasteridae","Bathymaster","Bathymaster caeruleofasciatus"
"7","Sebastes reedi","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes reedi"
"8","Porichthys notatus","species","Chordata","Actinopteri","Teleostei","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus"
"9","Ophiodon elongatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Ophiodon","Ophiodon elongatus"
"10","Oncorhynchus nerka","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"11","Sebastes caurinus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes caurinus"
"12","Oxylebius pictus","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Oxylebius","Oxylebius pictus"
"13","Cymatogaster aggregata","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster","Cymatogaster aggregata"
"14","Anoplarchus purpurescens","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus purpurescens"
"15","Embiotoca lateralis","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca","Embiotoca lateralis"
"16","Parophrys vetulus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Parophrys","Parophrys vetulus"
"17","Oncorhynchus clarkii","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"18","Sebastes auriculatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes auriculatus"
"19","Chirolophis nugator","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis nugator"
"20","Apodichthys flavidus","species","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus"
"21","Artedius harringtoni","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius harringtoni"
"22","Gobiesox maeandricus","species","Chordata","Actinopteri","Teleostei","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox maeandricus"
"23","Ammodytes personatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus"
"24","Beringraja binoculata","species","Chordata","Elasmobranchii","Neoselachii","Rajiformes","Rajidae","Beringraja","Beringraja binoculata"
"25","Oligocottus maculosus","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Oligocottus","Oligocottus maculosus"
"26","Chirolophis decoratus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis decoratus"
"27","Ronquilus jordani","species","Chordata","Actinopteri","Teleostei","Perciformes","Bathymasteridae","Ronquilus","Ronquilus jordani"
"28","Clupea pallasii","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
