"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"21","Sebastes ciliatus",1,1,0,0,"0","0","Sebastes ciliatus","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,274782,140880,2335476,1057071
"22","Parophrys vetulus",1,0,1,1,"0","0","Parophrys vetulus","Actinopteri","Pleuronectiformes","Pleuronectidae","Parophrys","accepted",NA,FALSE,254393,33893,2409370,835838
"23","Myoxocephalus polyacanthocephalus",1,1,1,0,"0","0","Myoxocephalus polyacanthocephalus","Actinopteri","Perciformes","Cottidae","Myoxocephalus","accepted",NA,FALSE,254528,101094,2333818,582925
"24","Rhamphocottus richardsonii",1,0,0,1,"0","0","Rhamphocottus richardsonii","Actinopteri","Perciformes","Rhamphocottidae","Rhamphocottus","accepted",NA,FALSE,282578,125517,2336938,706152
"25","Clupea pallasi",1,0,0,0,"0","0","Clupea pallasii pallasii","Actinopteri","Clupeiformes","Clupeidae","Clupea","unaccepted","misspelling",TRUE,293568,NA,4284074,421318
"26","Anoplarchus purpurescens",1,1,1,0,"0","0","Anoplarchus purpurescens","Actinopteri","Perciformes","Stichaeidae","Anoplarchus","accepted",NA,FALSE,279633,78132,2394914,865045
"27","Rimicola muscarum",1,1,1,1,"0","0","Rimicola muscarum","Actinopteri","Gobiesociformes","Gobiesocidae","Rimicola","accepted",NA,FALSE,282617,99728,5214482,584437
"28","Hexagrammos decagrammus",1,1,1,1,"0","0","Hexagrammos decagrammus","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos","accepted",NA,FALSE,240732,33916,2336472,305854
"29","Brachyistius frenatus",1,1,1,1,"0","0","Brachyistius frenatus","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Brachyistius","accepted",NA,FALSE,240721,99711,2389277,29170
"30","Ophiodon elongatus",1,1,1,1,"0","0","Ophiodon elongatus","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","accepted",NA,FALSE,240745,17835,2336521,849032
"31","Synchirus gilli",1,1,1,0,"0","0","Synchirus gilli","Actinopteri","Perciformes","Cottidae","Synchirus","accepted",NA,FALSE,282921,125638,2334298,170497
"32","Engraulis mordax",1,0,1,1,"0","0","Engraulis mordax","Actinopteri","Clupeiformes","Engraulidae","Engraulis","accepted",NA,FALSE,272286,33922,2414024,29754
"33","Gobiesox maeandricus",1,1,1,1,"0","0","Gobiesox maeandricus","Actinopteri","Gobiesociformes","Gobiesocidae","Gobiesox","accepted",NA,FALSE,275671,125653,2411287,622499
"34","Gadus macrocephalus",1,1,1,1,"0","0","Gadus macrocephalus","Actinopteri","Gadiformes","Gadidae","Gadus","accepted",NA,FALSE,254538,19837,2415853,56885
"35","Oxylebius pictus",1,1,1,1,"0","0","Oxylebius pictus","Actinopteri","Perciformes","Hexagrammidae","Oxylebius","accepted",NA,FALSE,240743,76502,2336510,131554
