taxa
Collembola
Insecta
Amphibia
Japygidae
Diplopoda
Chilopoda
Aves
Lepidosauria
Kinosternidae
Emydidae
Metazoaincertaesedis
Arthropodaincertaesedis
Chordataincertaesedis
Testudinidae
Parajapygidae
Alligatoridae
Trionychidae
Chelidae
Octostigmatidae
Geoemydidae
Crocodylidae
Podocnemididae
Pelomedusidae
Udeonychophora
Dermatemydidae
Dermochelyidae
Chelydridae
Rodentia
Canidae
Felidae
Ursidae
Cervidae
Hominidae
Procavidae
Vespertilionidae
Rhinolophidae
Soricidae
Erinaceidae
Talpidae
Macropodidae
Suidae
Procyonidae
Daubentoniidae
Lemuridae
Tarsiidae
Muridae
Bovidae
Nesomyidae
Camelidae
Equidae
Geomyidae
Sciuridae
Mustelidae
Caviidae
Hippopotamidae
Elephantidae
Vombatidae
Tenrecidae
Thryonomyidae
Spalacidae
Macroscelididae
Tupaiidae
Manidae
Cynocephalidae
Chrysochloridae
Didelphidae
Cricetidae
Procaviidae
Phalangeridae
Tachyglossidae
Ailuridae
Pseudocheiridae
Peramelidae
Potoroidae
Tayassuidae
Heteromyidae
Hylobatidae
Cebidae
Galagidae
Aotidae
Cercopithecidae
Burramyidae
Ochotonidae
Pteropodidae
Mephitidae
Tapiridae
Dasyuridae
Phyllostomidae
Molossidae
Emballonuridae
Mormoopidae
Echimyidae
Rhinocerotidae
Viverridae
Anomaluridae
Hystricidae
Atelidae
Antilocapridae
Bathyergidae
Bradypodidae
Caenolestidae
Caenolestidae
Calomyscidae
Capromyidae
Castoridae
Cheirogaleidae
Tragulidae
Thyropteridae
Thylacinidae
Solenodontidae
Rhinopomatidae
Rhinonycteridae
Platacanthomyidae
Pitheciidae
Ctenomyidae
Chlamyphoridae
Chiroptera
Chinchillidae
Cuniculidae
Cyclopedidae
Dasypodidae
Dasyproctidae
Dipodidae
Erethizontidae
Giraffidae
Gliridae
Furipteridae
Eupleridae
Herpestidae
Hipposideridae
Hyaenidae
Indriidae
Petauridae
Peroryctidae
Paleopropithecidae
Orycteropodidae
Ornithorhynchidae
Octodontidae
Nycteridae
Noctilionidae
Natalidae
Myrmecophagidae
Nandiniidae
Myocastoridae
Moschidae
Megalonychidae
Mammaliaincertaesedis
Dictynidae
Lycosidae
Philodromidae
Salticidae
Tetragnathidae
Linyphiidae
Thomisidae
Pisauridae
Tetranychidae
Agelenidae
Araneidae
Pettalidae
Sironidae
Neogoveidae
Troglosironidae
Buthidae
Euctenizidae
Phalangiidae
Heptathelidae
Liphistiidae
Anyphaenidae
Phalangodidae
Epedanidae
Gnaphosidae
Ctenidae
Thelyphonidae
Dysderidae
Antrodiaetidae
Stylocellidae
Pholcidae
Amaurobiidae
Theridiidae
Clubionidae
Miturgidae
Diguetidae
Rhodophyta
Ochrophyta
Ciliophora
Araneae
Scorpiones
Diplura
Protura
Perissodactyla
Solifugae
Pseudoscorpiones
Primates
Amblypygi
Palpigradi
Opiliones
