species,value
Clupeonella cultriventris,501719
Clupisoma bastari,2231704
Clupisoma garua,555719
Clupisoma longianalis,1817973
Clupisoma prateri,796017
Clupisoma sinense,796018
Clypeobarbus bomokandi,1699543
Clypeobarbus congicus,1606554
Clypeobarbus pleuropholis,643461
Cnesterodon decemmaculatus,30751
Cnesterodon hypselurus,696212
Cnesterodon septentrionalis,1517968
Cnidoglanis macrocephalus,443776
Cobitis afifeae,2565824
Cobitis albicoloris,306573
Cobitis arachthosensis,134591
Cobitis arenae,1280372
Cobitis australis,1347419
Cobitis avicennae,1567436
Cobitis baishagensis,2029709
Cobitis battalgilae,1483007
Cobitis bilineata,66303
Cobitis bilseli,352908
Cobitis biwae,118129
Cobitis brachysoma,2138616
Cobitis calderoni,134592
Cobitis choii,457511
Cobitis crassicauda,1254959
Cobitis dalmatina,464998
Cobitis dolichorhynchus,1254960
Cobitis dorademiri,2484511
Cobitis elazigensis,66806
Cobitis elongata,66304
Cobitis elongatoides x Cobitis taenia,197215
Cobitis elongatoides x Cobitis tanaitica x Cobitis strumicae,498762
Cobitis elongatoides x Cobitis tanaitica,197216
Cobitis elongatoides,166482
Cobitis evreni,1483008
Cobitis fahireae,1483009
Cobitis faridpaki,1567437
Cobitis fasciola,1254961
Cobitis gracilis,2039270
Cobitis hankugensis,287196
Cobitis hellenica,229279
Cobitis hereromacula,2029710
Cobitis herzegoviniensis,1505904
Cobitis hugowolfeldi,549393
Cobitis illyrica,1483010
Cobitis jadovaensis,1483011
Cobitis kaibarai,2507720
Cobitis keyvani,1567438
Cobitis laoensis,1707106
Cobitis lebedevi,1707107
Cobitis leptosoma,1571788
Cobitis levantina,352896
Cobitis linea,352902
Cobitis longibarba,2029711
Cobitis lutheri x Cobitis tetralineata,1448257
Cobitis lutheri,264551
Cobitis macrostigma,341114
Cobitis magnostriata,1756093
Cobitis maroccana,134594
Cobitis matsubarai,118130
Cobitis melanoleuca,425482
Cobitis meridionalis,134595
Cobitis microcephala,1254962
Cobitis minamorii,1396430
Cobitis nalbanti,2566147
Cobitis narentana,464997
Cobitis numidiensis,2565825
Cobitis ohridana,229283
Cobitis oxycephala,2138618
Cobitis paludica,66299
Cobitis phrygica,1483012
Cobitis pontica,1483013
Cobitis puncticulata,1483014
Cobitis punctilineata,229280
Cobitis rara,457490
Cobitis sakahoko,1828406
Cobitis saniae,1962260
Cobitis satunini,1567439
Cobitis shikokuensis,689894
Cobitis simplicispina,66301
Cobitis sinensis,143401
Cobitis sipahilerae,2484512
Cobitis splendens,1483015
Cobitis stenocauda,1254958
Cobitis stephanidisi,229282
Cobitis striata,149980
Cobitis strumicae,229281
Cobitis taenia,98395
Cobitis takatsuensis,118131
Cobitis takenoi,1332078
Cobitis tanaitica,196115
Cobitis taurica,469968
Cobitis tetralineata,264550
Cobitis trichonica,134596
Cobitis turcica,352892
Cobitis vardarensis,134597
Cobitis vettonica,134598
Cobitis wumingensis,1571787
Cobitis xui,2607631
Cobitis zanandreai,135638
Cobitis zhejiangensis,2029715
Coccorella atlantica,172147
Coccorella atrata,1609298
Cochlefelis danielsi,591319
Cochlefelis spatula,591321
Cochleoceps bassensis,2740761
Cochleoceps orientalis,1986072
Cochleoceps spatula,2740755
Cochleoceps viridis,2740762
Cociella crocodilus,2792426
Cociella heemstrai,1003712
Cociella punctata,1633431
Cocotropus aurantius,2824012
Cocotropus izuensis,2801319
Cocotropus monacanthus,990976
Codoma ornata,232984
Coelonotus leiaspis,1821183
Coelophrys brevicaudata,412625
Coelorinchus acanthiger,630653
Coelorinchus anatirostris,390686
Coelorinchus aspercephalus,630654
Coelorinchus asteroides,1916745
Coelorinchus biclinozonalis,630655
Coelorinchus bollonsi,630656
Coelorinchus braueri,1003713
Coelorinchus brevirostris,1916746
Coelorinchus caelorhincus,630657
Coelorinchus canus,2048725
Coelorinchus caribbaeus,630658
Coelorinchus celaenostomus,2696590
Coelorinchus cingulatus,1916747
Coelorinchus denticulatus,1003714
Coelorinchus divergens,1812865
Coelorinchus fasciatus,458564
Coelorinchus flabellispinnis,1003715
Coelorinchus formosanus,390687
Coelorinchus geronimo,630660
Coelorinchus gilberti,83394
Coelorinchus hexafasciatus,2768240
Coelorinchus hige,2850732
Coelorinchus hubbsi,390688
Coelorinchus innotabilis,630661
Coelorinchus japonicus,390689
Coelorinchus jordani,658254
Coelorinchus kaiyomaru,630662
Coelorinchus kamoharai,390690
Coelorinchus kermadecus,630663
Coelorinchus kishinouyei,143328
Coelorinchus labiatus,1887083
Coelorinchus leptorhinus,1812866
Coelorinchus longissimus,658256
Coelorinchus macrochir,83396
Coelorinchus macrorhynchus,2578262
Coelorinchus marinii,458566
Coelorinchus matamua,630664
Coelorinchus multispinulosus,390691
Coelorinchus mycterismus,2697117
Coelorinchus mystax,2697118
Coelorinchus occa,216979
Coelorinchus oliverianus,630665
Coelorinchus parallelus,1812867
Coelorinchus parvifasciatus,630666
Coelorinchus polli,630667
Coelorinchus scaphopsis,319433
Coelorinchus sheni,2866312
Coelorinchus simorhynchus,1003716
Coelorinchus smithi,630694
Coelorinchus tokiensis,1828421
Coelorinchus trachycarus,2696591
Coelorinchus trunovi,1003717
Coelotilapia joka,665431
Coilia brachygnathus,411919
Coilia dussumieri,1195463
Coilia grayii,363190
Coilia lindmani,686568
Coilia macrognathos,2202361
Coilia mystus,286537
Coilia nasus,365059
Coilia ramcarati,1217999
Coilia rebentischii,2529496
Coilia reynaldi,686569
Colistium nudipinnis,1156758
Colletteichthys dussumieri,1131789
Colletteichthys flavipinnis,1133061
Colletteichthys occidentalis,2710631
Collichthys lucidus,240159
Collichthys niveatus,240160
Coloconger cadenati,391219
Coloconger raniceps,2488688
Cololabis adocetus,293919
Cololabis saira,129043
Colomesus asellus,500393
Colomesus psittacus,679668
Colossoma macropomum,42526
Colpichthys hubbsi,2137796
Colpichthys regis,2137795
Comephorus baikalensis,200676
Comephorus dybowskii,61641
Compsaraia compsa,597351
Compsaraia iara,2175698
Compsaraia samueli,1740086
Compsura gorgonae,1315318
Compsura heterura,681907
Conger cinereus,1146962
Conger conger,82655
Conger erebennus,1463179
Conger japonicus,86968
Conger macrocephalus,2602541
Conger myriaster,7943
Conger oceanicus,94395
Conger triporiceps,1181892
Conger verreauxi,443690
Conger wilsoni,443691
Congiopodus coriaceus,2696592
Congiopodus leucopaecilus,1672026
Congiopodus peruvianus,274724
Congiopodus spinifer,1003718
Congiopodus torvus,990573
Congochromis sabinae,1069630
Congochromis squamiceps,1543257
Congoglanis alula,1233688
Congoglanis sagitta,1233690
Congolapia bilineata,665408
Congolapia crassa,1263296
Congolapia louna x Coptodon sp,_1263308
Congolapia louna,1263297
Congopanchax brichardi,2546140
Congopanchax myersi,1676983
Congresox talabon,2584509
Congresox talabonoides,391194
Congriscus maldivensis,1766200
Congriscus megastomus,1604600
Congrogadus spinifer,2578263
Congrogadus subducens,1206929
Conidens laticephalus,1772065
Conocara kreffti,1916748
Conocara macropterum,492036
Conocara murrayi,492037
Conocara nigrum,2052717
Conocara salmoneum,1126216
Conodon nobilis,722433
Conodon serrifer,1010703
Conorhynchos conirostris,390402
Conta conta,385273
Cookeolus japonicus,390314
Copadichromis borleyi,163616
Copadichromis jacksoni,451841
Copadichromis mbenjii,445505
Copadichromis mloto,451842
Copadichromis quadrimaculatus,163617
Copadichromis trimaculatus,451848
Copadichromis virginalis,163618
Copella arnoldi,1633426
Copella carsevennensis,2833471
Copella nattereri,930312
Copella nigrofasciata,2608140
Cophecheilus bamen,930206
Copionodon lianae,2023051
Copionodon orthiocarinatus,2023052
Copionodon pecten,2023053
Coptobrycon bilineatus,930315
Coptodon bakossiorum,870159
Coptodon bemini,160802
Coptodon bythobates,1652518
Coptodon camerunensis,1628151
Coptodon congicus,2485720
Coptodon dageti,665429
Coptodon deckerti,1315705
Coptodon discolor,64548
Coptodon guineensis,64549
Coptodon kottae,1652524
Coptodon louka,158778
Coptodon nyongana,665434
Coptodon rendalli,8129
Coptodon snyderae,870161
Coptodon tholloni,665432
Coptodon walteri,158780
Coptodon zillii,8130
Coptostomabarbus wittei,1772067
Coradion altivelis,109907
Coradion chrysozonus,109922
Coradion melanopus,466128
Coralliozetus angelicus,642426
Coralliozetus boehlkei,642427
Coralliozetus cardonae,642428
Coralliozetus rosenblatti,642430
Coralliozetus springeri,642431
Coranthus polyacanthus,1431507
Corcyrogobius liechtensteini,1365678
Corcyrogobius lubbocki,2749290
Corcyrogobius pulcher,2749292
Cordylancistrus platycephalus,1633164
Cordylancistrus santarosensis,1633165
Cordylancistrus torbesensis,1633166
Coregonus albula,36180
Coregonus anaulorum,1929312
Coregonus arenicolus,861749
Coregonus artedi,36181
Coregonus autumnalis,27773
Coregonus baerii,348709
Coregonus baicalensis,86068
Coregonus baunti,348705
Coregonus bavaricus,861750
Coregonus chadary,591250
Coregonus clupeaformis,59861
Coregonus fluviatilis,1935467
Coregonus fontanae,241492
Coregonus holsatus,861759
Coregonus hoyi,59862
Coregonus huntsmani,520985
Coregonus kiyi,59863
Coregonus laurettae,480039
Coregonus lavaretus,59291
Coregonus lucinensis,241493
Coregonus macrophthalmus,861760
Coregonus maraena,674131
Coregonus migratorius,884168
Coregonus muksun,348710
Coregonus nasus,348707
Coregonus nigripinnis,83398
Coregonus oxyrinchus,348708
Coregonus peled,107322
Coregonus pidschian,480040
Coregonus pollan,108096
Coregonus pravdinellus,348711
Coregonus sardinella,241494
Coregonus subautumnalis,1929310
Coregonus tugun,470729
Coregonus ussuriensis,340692
Coregonus zenithicus,56554
Coreius guichenoti,328532
Coreius heterodon,171525
Coreoleuciscus aeruginos,2800990
Coreoleuciscus splendidus,354116
Coreoperca herzi,228251
Coreoperca kawamebari,215345
Coreoperca whiteheadi,228250
Corica laciniata,689651
Corica soborna,1843298
Coris atlantica,663234
Coris auricularis,1182148
Coris aurilineata,317486
Coris aygula,241280
Coris batuensis,241282
Coris bulbifrons,1116259
Coris caudimacula,998002
Coris cuvieri,998003
Coris debueni,2584972
Coris dorsomacula,317480
Coris flavovittata,317481
Coris formosa,586807
Coris frerei,990682
Coris gaimard,241281
Coris hewetti,1984839
Coris julis,126330
Coris marquesensis,2589336
Coris melanura,2829088
Coris picta,317479
Coris pictoides,317487
Coris roseoviridis,2589337
Coris sandeyeri,2697110
Coris venusta,1984840
Corniger spinosus,1412992
Corumbataia britskii,1123831
Corumbataia cuestae,510926
Corumbataia liliai,2784603
Corumbataia lucianoi,2784604
Corumbataia tocantinensis,571736
Corumbataia veadeiros,2479405
Corvula macrops,1642206
Corvula sanctaeluciae,722561
Corydoras acrensis,927819
Corydoras acutus,927820
Corydoras adolfoi,927821
Corydoras aeneus,245769
Corydoras agassizii,927822
Corydoras albolineatus,927823
Corydoras amapaensis,927824
Corydoras ambiacus,927825
Corydoras araguaiaensis,245767
Corydoras arcuatus,927827
Corydoras armatus,927828
Corydoras atropersonatus,927829
Corydoras aurofrenatus,927830
Corydoras axelrodi,927831
Corydoras bicolor,927832
Corydoras bilineatus,927833
Corydoras blochi,927834
Corydoras boesemani,927835
Corydoras bondi,927836
Corydoras breei,927837
Corydoras brevirostris,927838
Corydoras britskii,245763
Corydoras burgessi,927840
Corydoras carlae,2760892
Corydoras caudimaculatus,927841
Corydoras cervinus,927842
Corydoras concolor,927870
Corydoras condiscipulus,927871
Corydoras copei,927872
Corydoras coppenamensis,927873
Corydoras coriatae,927874
Corydoras cruziensis,927875
Corydoras crypticus,927876
Corydoras davidsandsi,927877
Corydoras delphax,927878
Corydoras difluviatilis,245765
Corydoras diphyes,927879
Corydoras duplicareus,927880
Corydoras ehrhardti,245770
Corydoras elegans,927881
Corydoras ellisae,927882
Corydoras ephippifer,927883
Corydoras eques,927884
Corydoras filamentosus,927885
Corydoras flaveolus,245773
Corydoras fowleri,927886
Corydoras garbei,927887
Corydoras geoffroy,927888
Corydoras geryi,927889
Corydoras gomezi,927890
Corydoras gossei,927891
Corydoras gracilis,927892
Corydoras griseus,927893
Corydoras guapore,927894
Corydoras guianensis,927895
Corydoras habrosus,927896
Corydoras haraldschultzi,927898
Corydoras hastatus,927897
Corydoras imitator,927899
Corydoras julii,927900
Corydoras kanei,927901
Corydoras lacerdai,927983
Corydoras leopardus,927902
Corydoras leucomelas,927903
Corydoras loretoensis,927904
Corydoras loxozonus,927905
Corydoras maculifer,927906
Corydoras melanistius,927907
Corydoras melanotaenia,927908
Corydoras melini,927909
Corydoras metae,245768
Corydoras multimaculatus,927910
Corydoras nanus,927912
Corydoras napoensis,927913
Corydoras narcissus,927914
Corydoras nattereri,245771
Corydoras negro,927915
Corydoras nijsseni,927916
Corydoras oiapoquensis,927917
Corydoras orcesi,927918
Corydoras ornatus,927919
Corydoras osteocarus,927920
Corydoras ourastigma,745492
Corydoras oxyrhynchus,927921
Corydoras paleatus,245772
Corydoras panda,927922
Corydoras pantanalensis,927923
Corydoras paragua,927924
Corydoras pastazensis,927925
Corydoras polystictus,927926
Corydoras potaroensis,927927
Corydoras pulcher,927928
Corydoras punctatus,927929
Corydoras pygmaeus,927930
Corydoras rabauti,149983
Corydoras reticulatus,927931
Corydoras reynoldsi,927932
Corydoras robineae,927933
Corydoras robustus,927934
Corydoras schwartzi,927935
Corydoras semiaquilus,927936
Corydoras septentrionalis,927937
Corydoras serratus,927938
Corydoras seussi,927939
Corydoras similis,927940
Corydoras simulatus,927941
Corydoras sipaliwini,927942
Corydoras sodalis,245766
Corydoras solox,927943
Corydoras sp,_36708
Corydoras spilurus,927972
Corydoras stenocephalus,927974
Corydoras sterbai,570940
Corydoras sychri,2283120
Corydoras treitlii,927975
Corydoras trilineatus,570944
Corydoras tukano,281780
Corydoras undulatus,927976
Corydoras virginiae,927977
Corydoras vittatus,927978
Corydoras weitzmani,927979
Corydoras zygatus,927980
Corymbophanes kaiei,745512
Corynopoma riisei,42592
Coryogalops adamsoni,2698439
Coryogalops anomolus,990270
Coryogalops tessellatus,2698440
Coryphaena equiselis,13454
Coryphaena hippurus,34814
Coryphaenoides acrolepis,83390
Coryphaenoides alateralis,630668
Coryphaenoides anguliceps,2048726
Coryphaenoides armatus,76798
Coryphaenoides asper,1916749
Coryphaenoides brevibarbis,473302
Coryphaenoides capito,2048727
Coryphaenoides carapinus,473303
Coryphaenoides carminifer,2048728
Coryphaenoides cinereus,83391
Coryphaenoides dossenus,630669
Coryphaenoides ferrieri,1090478
Coryphaenoides filifer,216980
Coryphaenoides guentheri,473304
Coryphaenoides lecointei,1090479
Coryphaenoides leptolepis,216981
Coryphaenoides longifilis,83389
Coryphaenoides marginatus,434038
Coryphaenoides marshalli,630671
Coryphaenoides mcmillani,1887084
Coryphaenoides mediterraneus,473305
Coryphaenoides mexicanus,216982
Coryphaenoides microps,1508083
Coryphaenoides microstomus,2696593
Coryphaenoides murrayi,1887085
Coryphaenoides nasutus,83388
Coryphaenoides paramarshalli,630672
Coryphaenoides profundicolus,1127487
Coryphaenoides rudis,1887086
Coryphaenoides rupestris,163118
Coryphaenoides serrulatus,630673
Coryphaenoides soyoae,2768239
Coryphaenoides striaturus,1887087
Coryphaenoides subserrulatus,630674
Coryphaenoides yaquinae,83387
Coryphaenoides zaniophorus,216983
Coryphoblennius galerita,152538
Coryphopterus alloides,658150
Coryphopterus bol,521418
Coryphopterus curasub,1664162
Coryphopterus dicrus,151714
Coryphopterus eidolon,151715
Coryphopterus glaucofraenum,151721
Coryphopterus hyalinus,151716
Coryphopterus kuna,436511
Coryphopterus lipernes,151717
Coryphopterus personatus,151718
Coryphopterus thrix,658149
Coryphopterus tortugae,521419
Coryphopterus urospilus,151720
Coryphopterus venezuelae,658148
Corythoichthys amplexus,1146964
Corythoichthys flavofasciatus,1146965
Corythoichthys haematopterus,211658
Corythoichthys intestinalis,161448
Corythoichthys nigripectus,2067693
Corythoichthys schultzi,1311431
Cosmocampus albirostris,1182013
Cosmocampus arctus,1972140
Cosmocampus balli,1914694
Cosmocampus banneri,1914695
Cosmocampus elucens,587046
Cosmocampus howensis,1914696
Cosmochilus cardinalis,1080295
Cosmochilus harmandi,643457
Cottapistus cottoides,1604639
Cottinella boulengeri,61639
Cottiusculus gonez,381898
Cottiusculus nihonkaiensis,1633458
Cottiusculus schmidti,381887
Cottocomephorus comephoroides,2835786
Cottocomephorus grewingki,57734
Cottocomephorus inermis,61627
Cottoperca gobio,56716
Cottoperca trigloides,1588658
Cottunculus microps,1042645
Cottunculus nudus,2696594
Cottunculus thomsonii,274781
Cottus aleuticus,214914
Cottus amblystomopsis,290627
Cottus asper,214916
Cottus asperrimus,304259
Cottus aturi,446429
Cottus baileyi,304260
Cottus bairdii,147208
Cottus beldingii,304265
Cottus bendirei,304266
Cottus caeruleomentum,214919
Cottus carolinae,147209
Cottus chattahoochee,1046053
Cottus cognatus,147210
Cottus confusus,304271
Cottus czerskii,157167
Cottus duranii,446430
Cottus dzungaricus,1530446
Cottus extensus,304272
Cottus ferrugineus,304273
Cottus girardi,304274
Cottus gobio,100952
Cottus greenei,304275
Cottus gulosus,304276
Cottus hangiongensis,290628
Cottus hispaniolensis,446431
Cottus hubbsi,304277
Cottus hypselurus,147211
Cottus immaculatus,2707739
Cottus kazika,186278
Cottus klamathensis,304278
Cottus kolymensis,2876673
Cottus koreanus,1302306
Cottus leiopomus,304282
Cottus marginatus,304283
Cottus microstomus,1561436
Cottus nozawae,157166
Cottus paulus,304284
Cottus perifretum,446432
Cottus perplexus,214920
Cottus pitensis,304285
Cottus poecilopus,182643
Cottus pollux,137882
Cottus princeps,304287
Cottus reinii,137881
Cottus rhenanus,446433
Cottus rhotheus,214921
Cottus ricei,304288
Cottus scaturigo,1483017
Cottus schitsuumsh,1330401
Cottus sibiricus,200678
Cottus spinulosus,2814118
Cottus szanaga,1920503
Cottus tallapoosae,1046054
Cottus tenuis,1046055
Cottus volki,369910
Cotylopus acutipinnis,325685
Cotylopus rubripinnis,1001955
Couesius plumbeus,67539
Cranoglanis bouderius,175798
Crapatalus angusticeps,2696595
Crassinarke dormitor,2012959
Craterocephalus amniculus,613160
Craterocephalus capreoli,753898
Craterocephalus centralis,753899
Craterocephalus cuneiceps,753900
Craterocephalus dalhousiensis,753901
Craterocephalus eyresii,753902
Craterocephalus fluviatilis,613161
Craterocephalus gloveri,753903
Craterocephalus helenae,753904
Craterocephalus honoriae,300299
Craterocephalus lentiginosus,753907
Craterocephalus marianae,753908
Craterocephalus marjoriae,69134
Craterocephalus mugiloides,753909
Craterocephalus munroi,753910
Craterocephalus nouhuysi,753911
Craterocephalus pauciradiatus,753912
Craterocephalus randi,135488
Craterocephalus stercusmuscarum x Craterocephalus stramineus,753906
Craterocephalus stercusmuscarum,69135
Craterocephalus stramineus,753914
Cratinus agassizii,184433
Creagrutus affinis,1463027
Creagrutus atrisignum,2517880
Creagrutus barrigai,1463028
Creagrutus beni,1463029
Creagrutus bolivari,1463030
Creagrutus brevipinnis,1463031
Creagrutus britskii,1463032
Creagrutus changae,1463033
Creagrutus ignotus,681892
Creagrutus maxillaris,1463034
Creagrutus melanzonus,1463035
Creagrutus meridionalis,743782
Creagrutus muelleri,1463036
Creagrutus occidaneus,1463037
Creagrutus paraguayensis,743783
Creagrutus peruanus,930242
Creagrutus phasma,1463038
Creagrutus pila,1463039
Creagrutus seductus,1463040
Creagrutus ungulus,1463041
Creagrutus zephyrus,1463042
Cremnochorites capensis,879808
Crenicara punctulatum,284733
Crenichthys baileyi,28760
Crenichthys nevadae,33522
Crenicichla acutirostris,762060
Crenicichla albopunctata,2023879
Crenicichla alta,238234
Crenicichla anthurus,2058448
Crenicichla biocellata,2884483
Crenicichla brasiliensis,2884484
Crenicichla britskii,1123832
Crenicichla cametana,1077069
Crenicichla celidochilus,745329
Crenicichla cincta,2023880
Crenicichla compressiceps,745330
Crenicichla cyanonotus,1077070
Crenicichla cyclostoma,2058457
Crenicichla dandara,2884485
Crenicichla elegans,2884486
Crenicichla empheres,745331
Crenicichla frenata,1224741
Crenicichla gaucho,765723
Crenicichla geayi,284718
Crenicichla hadrostigma,1077071
Crenicichla haroldoi,1123833
Crenicichla hu,765726
Crenicichla igara,1077072
Crenicichla iguapina,2023896
Crenicichla iguassuensis,745332
Crenicichla inpa,2812811
Crenicichla isbrueckeri,2884487
Crenicichla jaguarensis,2691079
Crenicichla jegui,2023881
Crenicichla johanna,2283132
Crenicichla jupiaensis,1077073
Crenicichla jurubi,2058458
Crenicichla labrina,2884488
Crenicichla lacustris,870598
Crenicichla lenticulata,762754
Crenicichla lepidota,161897
Crenicichla lucenai,2815922
Crenicichla lugubris,81337
Crenicichla macrophthalma,745333
Crenicichla maculata,2023882
Crenicichla mandelburgeri,765722
Crenicichla marmorata,1077074
Crenicichla menezesi,745334
Crenicichla minuano,745335
Crenicichla missioneira,745336
Crenicichla multispinosa,762756
Crenicichla nickeriensis,2884489
Crenicichla niederleinii,2867283
Crenicichla notophthalmus,745337
Crenicichla obtusirostris,2884490
Crenicichla percna,2023883
Crenicichla punctata,745338
Crenicichla regani,81338
Crenicichla reticulata,762757
Crenicichla saxatilis,50737
Crenicichla scottii,745339
Crenicichla semicincta,2058460
Crenicichla semifasciata,745340
Crenicichla stocki,2815921
Crenicichla sveni,284734
Crenicichla taikyra,2058465
Crenicichla tapii,2058466
Crenicichla tendybaguassu,745341
Crenicichla ternetzi,2884491
Crenicichla tesay,765724
Crenicichla tingui,2058467
Crenicichla tuca,2058468
Crenicichla vittata,745342
Crenicichla wallacii,2021264
Crenicichla yaha,765725
Crenicichla ypo,862240
Crenicichla zebrina,2021265
Crenidens crenidens,119708
Crenidens indicus,2108449
Crenimugil buchanani,909127
Crenimugil crenilabis,143330
Crenuchus spilurus,909854
Creocele cardinalis,2578376
Creteuchiloglanis bumdelingensis,2301576
Creteuchiloglanis gongshanensis,400079
Creteuchiloglanis kamengensis,278781
Creteuchiloglanis macropterus,400080
Cribroheros alfari,84389
Cribroheros altifrons,64098
Cribroheros bussingi,84390
Cribroheros diquis,63151
Cribroheros longimanus,63152
Cribroheros rhytisma,64100
Cribroheros robertsoni,64101
Cribroheros rostratus,64102
Crinodus lophodon,91855
Cristatogobius lophius,1738890
Cristatogobius nonatoae,2420322
Cristiceps argyropleura,2593123
Cristiceps aurantiacus,1385630
Cristiceps australis,879810
Crocodilichthys gracilis,879812
Croilia mossambica,990978
Cromeria nilotica,299317
Cromeria occidentalis,1183860
Cromileptes altivelis x Epinephelus lanceolatus,1980398
Cromileptes altivelis x Epinephelus tukula,2802206
Cromileptes altivelis,304459
Crossocheilus atrilimes,1093611
Crossocheilus langei,1093613
Crossocheilus latius,369669
Crossocheilus nigriloba,432389
Crossocheilus oblongus,1093595
Crossocheilus periyarensis,1389703
Crossocheilus reticulatus,369634
Crossocheilus siamensis,711521
Crossoloricaria bahuaja,1747973
Crossoloricaria cephalaspis,1747974
Crossoloricaria rhami,1747975
Crossoloricaria variegata,1747976
Crossoloricaria venezuelae,337747
Crossorhombus azureus,366907
Crossorhombus howensis,1916750
Crossorhombus kanekonis,1188021
Crossorhombus kobensis,195604
Crossorhombus valderostratus,990577
Crossosalarias macrospilus,1405695
Cruciglanis pacifici,2588701
Cruriraja hulleyi,1072471
Cruriraja parcomaculata,906896
Cruriraja triangularis,990578
Cryodraco antarcticus,36192
Cryodraco atkinsoni,227742
Cryothenia amphitreta,369904
Cryothenia peninsulae,487675
Cryptacanthodes aleutensis,557343
Cryptacanthodes bergi,1127570
Cryptacanthodes giganteus,433379
Cryptacanthodes maculatus,1266866
Cryptancistrus similis,2071350
Cryptarius truncatus,419352
Cryptocentroides arabicus,2527885
Cryptocentroides cristatus,512335
Cryptocentroides gobioides,1365543
Cryptocentroides insignis,2057063
Cryptocentrus albidorsus,622403
Cryptocentrus caeruleomaculatus,1365544
Cryptocentrus cebuanus,2650375
Cryptocentrus cinctus,586808
Cryptocentrus cryptocentrus,990579
Cryptocentrus cyanotaenia,586809
Cryptocentrus inexplicatus,622404
Cryptocentrus leptocephalus,586810
Cryptocentrus lutheri,913873
Cryptocentrus malindiensis,1414473
Cryptocentrus maudae,2496616
Cryptocentrus melanopus,2608427
Cryptocentrus nigrocellatus,622405
Cryptocentrus pavoninoides,586811
Cryptocentrus sericus,2768279
Cryptocentrus strigilliceps,622407
Cryptocentrus yatsui,1916751
Cryptoheros chetumalensis,762636
Cryptoheros cutteri,762638
Cryptoheros spilurus,61817
Cryptomyrus ogoouensis,1736032
Cryptomyrus ona,1736033
Cryptopsaras couesii,412659
Cryptopsilotris batrachodes,2008639
Cryptotomus roseus,90412
Crystallaria asprella,54325
Crystallaria cincotta,1070240
Crystallias matsushimae,1642179
Crystallichthys cyclospilus,446810
Crystallodytes enderburyensis,2589296
Crystallogobius linearis,441903
Cteniloricaria fowleri,1137576
Cteniloricaria napova,1137725
Cteniloricaria platystoma,1137655
Ctenobrycon hauxwellianus,642580
Ctenobrycon spilurus,2032718
Ctenochaetus binotatus,75020
Ctenochaetus cyanocheilus,175445
Ctenochaetus flavicauda,753645
Ctenochaetus hawaiiensis,390315
Ctenochaetus marginatus,342439
Ctenochaetus striatus,175436
Ctenochaetus strigosus,586812
Ctenochaetus tominiensis,1316014
Ctenochaetus truncatus,1311432
Ctenochromis horei,194657
Ctenochromis pectoralis,64553
Ctenochromis polli,2591249
Ctenogobiops aurocingulus,622408
Ctenogobiops crocineus,913864
Ctenogobiops feroculus,166743
Ctenogobiops formosa,622409
Ctenogobiops maculosus,622410
Ctenogobiops mitodes,691204
Ctenogobiops pomastictus,622411
Ctenogobiops tangaroai,586813
Ctenogobiops tongaensis,622412
Ctenogobius boleosoma,700790
Ctenogobius fasciatus,1366220
Ctenogobius saepepallens,167447
Ctenogobius sagittula,314006
Ctenogobius shufeldti,391871
Ctenogobius smaragdus,1183150
Ctenolabrus rupestris,171735
Ctenolucius beani,1939675
Ctenolucius hujeta,303997
Ctenolucius sp,_42605
Ctenopharyngodon idella x Megalobrama amblycephala,1204564
Ctenopharyngodon idella x Squaliobarbus curriculus,1286312
Ctenopharyngodon idella,7959
Ctenopharyngodon idellus x Elopichthys bambusa,1564186
Ctenopharynx pictus,445504
Ctenopoma acutirostre,302768
Ctenopoma gabonense,1104262
Ctenopoma kingsleyae,313158
Ctenopoma muriei,313159
Ctenopoma nebulosum,313160
Ctenopoma nigropannosum,313163
Ctenopoma ocellatum,313161
Ctenopoma pellegrini,313164
Ctenopoma petherici,313162
Ctenopoma weeksii,1881173
Ctenops nobilis,313184
Ctenosciaena gracilicirrhus,1154680
Ctenotrypauchen chinensis,1765093
Cualac tessellatus,30740
Cubanichthys cubensis,668544
Cubanichthys pengelleyi,28740
Cubiceps baxteri,319749
Cubiceps caeruleus,2578264
Cubiceps capensis,1003719
Cubiceps gracilis,473306
Cubiceps paradoxus,316137
Cubiceps pauciradiatus,215401
Cubiceps squamiceps,316138
Cubiceps whiteleggii,662065
Culaea inconstans,240156
Culter alburnus x Ancherythroculter nigrocauda,1471755
Culter alburnus x Megalobrama terminalis,2767283
Culter alburnus,194366
Culter brevicauda,1435196
Culter compressocorpus,857721
Culter oxycephaloides,172912
Cunningtonia longiventralis,27739
Curculionichthys hera,2602552
Curimata acutirostris,2259436
Curimata cyprinoides,1396863
Curimata incompta,2259437
Curimata inornata,870156
Curimata knerii,2259438
Curimata mivartii,1577992
Curimata roseni,2259439
Curimata vittata,2259440
Curimatella alburna,2259441
Curimatella dorsalis,930243
Curimatella immaculata,2259442
Curimatella lepidura,935627
Curimatella meyeri,2259443
Curimatopsis crypticus,1826859
Curimatopsis evelynae,909830
Curimatopsis macrolepis,642547
Curimatopsis myersi,1826860
Cyanocharax alburnus,681909
Cyanocharax alegretensis,681910
Cyanocharax dicropotamicus,1463043
Cyanocharax itaimbe,681911
Cyanocharax lepiclastus,1224507
