"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"48","Carcharhinus falciformis","Carcharhinus falciformis (Müller & Henle, 1839)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418095,"Elasmobranchii"
"49","Carcharhinus galapagensis","Carcharhinus galapagensis (Snodgrass & Heller, 1905)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2417964,"Elasmobranchii"
"50","Carcharhinus obscurus","Carcharhinus obscurus (Lesueur, 1818)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418005,"Elasmobranchii"
"51","Carcharhinus leucas","Carcharhinus leucas (Müller & Henle, 1839)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418036,"Elasmobranchii"
"52","Carcharhinus limbatus","Carcharhinus limbatus (Müller & Henle, 1839)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2417970,"Elasmobranchii"
"53","Carcharhinus longimanus","Carcharhinus longimanus (Poey, 1861)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Carcharhinus",1,44,121,887,2211,2417963,2418052,"Elasmobranchii"
"54","Galeocerdo cuvier","Galeocerdo cuvier (Péron & Lesueur, 1822)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Galeocerdo",1,44,121,887,2211,7563837,2418234,"Elasmobranchii"
"55","Nasolamia velox","Nasolamia velox (Gilbert, 1898)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Nasolamia",1,44,121,887,2211,2418210,2418211,"Elasmobranchii"
"56","Negaprion brevirostris","Negaprion brevirostris (Poey, 1868)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Negaprion",1,44,121,887,2211,2417904,2417919,"Elasmobranchii"
"57","Prionace glauca","Prionace glauca (Linnaeus, 1758)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Prionace",1,44,121,887,2211,2417939,2417940,"Elasmobranchii"
"58","Rhizoprionodon longurio","Rhizoprionodon longurio (Jordan & Gilbert, 1882)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Rhizoprionodon",1,44,121,887,2211,2417853,2417896,"Elasmobranchii"
"59","Triaenodon obesus","Triaenodon obesus (Rüppell, 1837)","species","Animalia","Chordata","Carcharhiniformes","Carcharhinidae","Triaenodon",1,44,121,887,2211,2418205,2418054,"Elasmobranchii"
"60","Sphyrna corona","Sphyrna corona Springer, 1940","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418820,"Elasmobranchii"
"61","Sphyrna lewini","Sphyrna lewini (Griffith & Smith, 1834)","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418789,"Elasmobranchii"
"62","Sphyrna media","Sphyrna media Springer, 1940","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418818,"Elasmobranchii"
"63","Sphyrna mokarran","Sphyrna mokarran (Rüppell, 1837)","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418792,"Elasmobranchii"
"64","Sphyrna tiburo","Sphyrna tiburo (Linnaeus, 1758)","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418800,"Elasmobranchii"
"65","Sphyrna zygaena","Sphyrna zygaena (Linnaeus, 1758)","species","Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna",1,44,121,887,2207,2418788,2418794,"Elasmobranchii"
"66","Chlamydoselachus anguineus","Chlamydoselachus anguineus Garman, 1884","species","Animalia","Chordata","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus",1,44,121,770,2205,2420626,2420627,"Elasmobranchii"
"67","Hexanchus griseus","Hexanchus griseus (Bonnaterre, 1788)","species","Animalia","Chordata","Hexanchiformes","Hexanchidae","Hexanchus",1,44,121,770,2204,2420568,2420569,"Elasmobranchii"
"68","Notorynchus cepedianus","Notorynchus cepedianus (Péron, 1807)","species","Animalia","Chordata","Hexanchiformes","Hexanchidae","Notorynchus",1,44,121,770,2204,2420599,2420600,"Elasmobranchii"
"69","Echinorhinus cookei","Echinorhinus cookei Pietschmann, 1928","species","Animalia","Chordata","Squaliformes","Echinorhinidae","Echinorhinus",1,44,121,883,5874,2421208,2421215,"Elasmobranchii"
"70","Squalus suckleyi","Squalus suckleyi (Girard, 1855)","species","Animalia","Chordata","Squaliformes","Squalidae","Squalus",1,44,121,883,5872,2420869,5216380,"Elasmobranchii"
"71","Squalus acanthias","Squalus acanthias Linnaeus, 1758","species","Animalia","Chordata","Squaliformes","Squalidae","Squalus",1,44,121,883,5872,2420869,5216368,"Elasmobranchii"
"72","Centroscyllium nigrum","Centroscyllium nigrum Garman, 1899","species","Animalia","Chordata","Squaliformes","Etmopteridae","Centroscyllium",1,44,121,883,2187,2421012,2421013,"Elasmobranchii"
"73","Etmopterus benchleyi","Etmopterus benchleyi Vásquez, Ebert & Long, 2015","species","Animalia","Chordata","Squaliformes","Etmopteridae","Etmopterus",1,44,121,883,2187,2421025,8574195,"Elasmobranchii"
"74","Somniosus pacificus","Somniosus pacificus Bigelow & Schroeder, 1944","species","Animalia","Chordata","Squaliformes","Somniosidae","Somniosus",1,44,121,883,2186,2421154,2421160,"Elasmobranchii"
"75","Somniosus microcephalus","Somniosus microcephalus (Bloch & Schneider, 1801)","species","Animalia","Chordata","Squaliformes","Somniosidae","Somniosus",1,44,121,883,2186,2421154,2421162,"Elasmobranchii"
"76","Somniosus antarcticus","Somniosus antarcticus Whitley, 1939","species","Animalia","Chordata","Squaliformes","Somniosidae","Somniosus",1,44,121,883,2186,2421154,2421161,"Elasmobranchii"
"77","Zameus squamulosus","Zameus squamulosus (Günther, 1877)","species","Animalia","Chordata","Squaliformes","Somniosidae","Zameus",1,44,121,883,2186,2421177,2421180,"Elasmobranchii"
"78","Euprotomicrus bispinatus","Euprotomicrus bispinatus (Quoy & Gaimard, 1824)","species","Animalia","Chordata","Squaliformes","Dalatiidae","Euprotomicrus",1,44,121,883,5875,2420885,2420886,"Elasmobranchii"
"79","Isistius brasiliensis","Isistius brasiliensis (Quoy & Gaimard, 1824)","species","Animalia","Chordata","Squaliformes","Dalatiidae","Isistius",1,44,121,883,5875,2420872,2420875,"Elasmobranchii"
"80","Squatina californica","Squatina californica Ayres, 1859","species","Animalia","Chordata","Squatiniformes","Squatinidae","Squatina",1,44,121,882,2185,9069902,2417794,"Elasmobranchii"
"81","Squatina armata","Squatina armata (Philippi, 1887)","species","Animalia","Chordata","Squatiniformes","Squatinidae","Squatina",1,44,121,882,2185,9069902,2417790,"Elasmobranchii"
"82","Tetronarce californica","Torpedo californica Ayres, 1855","species","Animalia","Chordata","Torpediniformes","Torpedinidae","Tetronarce",1,44,121,881,5871,2417649,8202844,"Elasmobranchii"
"83","Diplobatis ommata","Diplobatis ommata (Jordan & Gilbert, 1890)","species","Animalia","Chordata","Torpediniformes","Narcinidae","Diplobatis",1,44,121,881,2183,2417719,2417725,"Elasmobranchii"
"84","Narcine entemedor","Narcine entemedor Jordan & Starks, 1895","species","Animalia","Chordata","Torpediniformes","Narcinidae","Narcine",1,44,121,881,2183,8405394,2417774,"Elasmobranchii"
"85","Pristis pristis","Pristis pristis (Linnaeus, 1758)","species","Animalia","Chordata","Rhinopristiformes","Pristidae","Pristis",1,44,121,9412443,5882,2354179,5216276,"Elasmobranchii"
"86","Pristis microdon","Pristis zephyreus Jordan & Starks, 1895","species","Animalia","Chordata","Rhinopristiformes","Pristidae","Pristis",1,44,121,9412443,5882,2354179,5216285,"Elasmobranchii"
"87","Pseudobatos glaucostigmus","Pseudobatos glaucostigmus (Jordan & Gilbert, 1883)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Pseudobatos",1,44,121,9412443,5876,8497759,9246400,"Elasmobranchii"
"88","Pseudobatos productus","Pseudobatos productus (Ayres, 1854)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Pseudobatos",1,44,121,9412443,5876,8497759,9479285,"Elasmobranchii"
"89","Pseudobatos prahli","Pseudobatos prahli (Acero P. & Franke, 1995)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Pseudobatos",1,44,121,9412443,5876,8497759,9600270,"Elasmobranchii"
"90","Pseudobatos leucorhynchus","Pseudobatos leucorhynchus (Günther, 1867)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Pseudobatos",1,44,121,9412443,5876,8497759,9306388,"Elasmobranchii"
"91","Zapteryx exasperata","Zapteryx exasperata (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Zapteryx",1,44,121,9412443,5876,2418980,2418986,"Elasmobranchii"
"92","Bathyraja abyssicola","Bathyraja abyssicola (Gilbert, 1896)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420284,"Elasmobranchii"
"93","Bathyraja aleutica","Bathyraja aleutica (Gilbert, 1896)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420280,"Elasmobranchii"
"94","Bathyraja interrupta","Bathyraja interrupta (Gill & Townsend, 1897)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420344,"Elasmobranchii"
"95","Bathyraja lindbergi","Bathyraja lindbergi Ishiyama & Ishihara, 1977","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420304,"Elasmobranchii"
"96","Bathyraja matsubarai","Bathyraja matsubarai (Ishiyama, 1952)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420377,"Elasmobranchii"
"97","Bathyraja maculata","Bathyraja maculata Ishiyama & Ishihara, 1977","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420294,"Elasmobranchii"
"98","Bathyraja mariposa","Bathyraja mariposa Stevenson, Orr, Hoff & McEachran, 2004","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,5216153,"Elasmobranchii"
"99","Bathyraja trachura","Bathyraja microtrachys (Osburn & Nichols, 1916)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420364,"Elasmobranchii"
"100","Bathyraja minispinosa","Bathyraja minispinosa Ishiyama & Ishihara, 1977","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420329,"Elasmobranchii"
"101","Bathyraja panthera","Bathyraja panthera Orr, Stevenson, Hoff, Spies & McEachran, 2011","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,7193845,"Elasmobranchii"
"102","Bathyraja parmifera","Bathyraja parmifera (Bean, 1881)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420295,"Elasmobranchii"
"103","Bathyraja simoterus","Bathyraja simoterus (Ishiyama, 1967)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420374,"Elasmobranchii"
"104","Bathyraja spinosissima","Bathyraja spinosissima (Beebe & Tee-Van, 1941)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420319,"Elasmobranchii"
"105","Bathyraja taranetzi","Bathyraja taranetzi (Dolganov, 1983)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420087,"Elasmobranchii"
"106","Bathyraja violacea","Bathyraja violacea (Suvorov, 1935)","species","Animalia","Chordata","Rajiformes","Arhynchobatidae","Bathyraja",1,44,121,884,3239206,7826067,2420359,"Elasmobranchii"
"107","Amblyraja hyperborea","Amblyraja hyperborea (Collett, 1879)","species","Animalia","Chordata","Rajiformes","Rajidae","Amblyraja",1,44,121,884,5877,2420436,2420454,"Elasmobranchii"
"108","Amblyraja badia","Amblyraja badia (Garman, 1899)","species","Animalia","Chordata","Rajiformes","Rajidae","Amblyraja",1,44,121,884,5877,2420436,2420442,"Elasmobranchii"
"109","Beringraja binoculata","Beringraja binoculata (Girard, 1855)","species","Animalia","Chordata","Rajiformes","Rajidae","Beringraja",1,44,121,884,5877,7554168,7913005,"Elasmobranchii"
"110","Beringraja inornata","Beringraja inornata (Jordan & Gilbert, 1881)","species","Animalia","Chordata","Rajiformes","Rajidae","Beringraja",1,44,121,884,5877,7554168,10726261,"Elasmobranchii"
"111","Raja inornata","Raja inornata Jordan & Gilbert, 1881","species","Animalia","Chordata","Rajiformes","Rajidae","Raja",1,44,121,884,5877,2342057,5216063,"Elasmobranchii"
"112","Beringraja rhina","Beringraja rhina (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Rajiformes","Rajidae","Beringraja",1,44,121,884,5877,7554168,10897607,"Elasmobranchii"
"113","Beringraja stellulata","Beringraja stellulata (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Rajiformes","Rajidae","Beringraja",1,44,121,884,5877,7554168,10789185,"Elasmobranchii"
"114","Beringraja pulchra","Beringraja pulchra (Liu, 1932)","species","Animalia","Chordata","Rajiformes","Rajidae","Beringraja",1,44,121,884,5877,7554168,9354970,"Elasmobranchii"
"115","Raja rhina","Raja rhina Jordan & Gilbert, 1880","species","Animalia","Chordata","Rajiformes","Rajidae","Raja",1,44,121,884,5877,2342057,5216020,"Elasmobranchii"
"116","Raja stellulata","Raja stellulata Jordan & Gilbert, 1880","species","Animalia","Chordata","Rajiformes","Rajidae","Raja",1,44,121,884,5877,2342057,5216036,"Elasmobranchii"
"117","Raja equatorialis","Rostroraja equatorialis (Jordan & Bollman, 1890)","species","Animalia","Chordata","Rajiformes","Rajidae","Raja",1,44,121,884,5877,2342057,5216038,"Elasmobranchii"
"118","Raja velezi","Rostroraja velezi (Chirichigno F., 1973)","species","Animalia","Chordata","Rajiformes","Rajidae","Raja",1,44,121,884,5877,2342057,5216022,"Elasmobranchii"
"119","Platyrhinoidis triseriata","Platyrhinoidis triseriata (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Rhinopristiformes","Rhinobatidae","Platyrhinoidis",1,44,121,9412443,5876,10484914,2418958,"Elasmobranchii"
"120","Urobatis concentricus","Urobatis concentricus Osburn & Nichols, 1916","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urobatis",1,44,121,8214029,2189,2420463,2420465,"Elasmobranchii"
"121","Urolophus halleri","Urobatis halleri (Cooper, 1863)","species","Animalia","Chordata","Myliobatiformes","Urolophidae","Urolophus",1,44,121,8214029,2190,2418903,2420478,"Elasmobranchii"
"122","Urobatis maculatus","Urobatis maculatus Garman, 1913","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urobatis",1,44,121,8214029,2189,2420463,2420469,"Elasmobranchii"
"123","Urotrygon aspidura","Urotrygon aspidura (Jordan & Gilbert, 1882)","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urotrygon",1,44,121,8214029,2189,8412549,2420486,"Elasmobranchii"
"124","Urotrygon chilensis","Urotrygon chilensis (Günther, 1872)","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urotrygon",1,44,121,8214029,2189,8412549,2420481,"Elasmobranchii"
"125","Urotrygon munda","Urotrygon munda Gill, 1863","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urotrygon",1,44,121,8214029,2189,8412549,2420488,"Elasmobranchii"
"126","Urotrygon rogersi","Urotrygon rogersi (Jordan & Starks, 1895)","species","Animalia","Chordata","Myliobatiformes","Urotrygonidae","Urotrygon",1,44,121,8214029,2189,8412549,2420495,"Elasmobranchii"
"127","Hypanus dipterurus","Hypanus dipterurus (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Myliobatiformes","Dasyatidae","Hypanus",1,44,121,8214029,2195,4853261,9315241,"Elasmobranchii"
"128","Hypanus longus","Hypanus longus (Garman, 1880)","species","Animalia","Chordata","Myliobatiformes","Dasyatidae","Hypanus",1,44,121,8214029,2195,4853261,9573075,"Elasmobranchii"
"129","Pteroplatytrygon violacea","Pteroplatytrygon violacea (Bonaparte, 1832)","species","Animalia","Chordata","Myliobatiformes","Dasyatidae","Pteroplatytrygon",1,44,121,8214029,2195,2419425,2419426,"Elasmobranchii"
"130","Gymnura marmorata","Gymnura marmorata (Cooper, 1864)","species","Animalia","Chordata","Myliobatiformes","Gymnuridae","Gymnura",1,44,121,8214029,2194,2420504,5216224,"Elasmobranchii"
"131","Gymnura crebripunctata","Gymnura crebripunctata (Peters, 1869)","species","Animalia","Chordata","Myliobatiformes","Gymnuridae","Gymnura",1,44,121,8214029,2194,2420504,5216227,"Elasmobranchii"
"132","Aetobatus laticeps","Aetobatus laticeps Gill, 1865","species","Animalia","Chordata","Myliobatiformes","Myliobatidae","Aetobatus",1,44,121,8214029,2193,2419230,10806963,"Elasmobranchii"
"133","Aetobatus narinari","Aetobatus laticeps Duméril, 1865","species","Animalia","Chordata","Myliobatiformes","Myliobatidae","Aetobatus",1,44,121,8214029,2193,2419230,2419231,"Elasmobranchii"
"134","Aetomylaeus asperrimus","Aetomylaeus asperrimus (Gilbert, 1898)","species","Animalia","Chordata","Myliobatiformes","Myliobatidae","Aetomylaeus",1,44,121,8214029,2193,2419251,8535521,"Elasmobranchii"
"135","Myliobatis californica","Myliobatis californica Gill, 1865","species","Animalia","Chordata","Myliobatiformes","Myliobatidae","Myliobatis",1,44,121,8214029,2193,10779164,2419300,"Elasmobranchii"
