"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"18140","Crago variabilis",2222115,"Crangon variabilis Rathbun, 1902","species","SYNONYM","FUZZY","Crangon variabilis",68,"Animalia","Arthropoda","Decapoda","Crangonidae","Metacrangon","Metacrangon variabilis",1,54,229,637,6191,2222112,2222114,TRUE,"Malacostraca","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0",2222114
"18217","Cribrella leviuscula",5966047,"Cribrella laeviuscula (Stimpson, 1857)","species","SYNONYM","FUZZY","Cribrella laeviuscula",13,"Animalia","Echinodermata","Spinulosida","Echinasteridae","Henricia","Henricia leviuscula",1,50,214,1463,5541,2272135,5187438,TRUE,"Asteroidea","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",5187438
"18241","Crisidia franciscana",10361931,"Crisia franciscana Robertson, 1910","species","SYNONYM","FUZZY","Crisia franciscana",73,"Animalia","Bryozoa","Cyclostomatida","Crisiidae","Filicrisia","Filicrisia franciscana",1,53,226,1497,5652,1003720,1003721,TRUE,"Stenolaemata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",1003721
"18243","Crisidia gracilis",5817737,"Crisia gracilis MacGillivray, 1895","species","ACCEPTED","FUZZY","Crisia gracilis",69,"Animalia","Bryozoa","Cyclostomatida","Crisiidae","Crisia","Crisia gracilis",1,53,226,1497,5652,1003734,5817737,FALSE,"Stenolaemata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1",NA
"18244","Crisidia gracilis",1003951,"Crisisina gracilis Philippi, 1844","species","ACCEPTED","FUZZY","Crisisina gracilis",69,"Animalia","Bryozoa","Cyclostomatida","Tubuliporidae","Crisisina","Crisisina gracilis",1,53,226,1497,5699,1003950,1003951,FALSE,"Stenolaemata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1",NA
"18318","Culeolus ushakovi",4354338,"Culeolus uschakovi Redikorzev, 1941","species","SYNONYM","FUZZY","Culeolus uschakovi",13,"Animalia","Chordata","Stolidobranchia","Pyuridae","Culeolus","Culeolus suhmi",1,44,356,9469348,7345,2331663,2331664,TRUE,"Ascidiacea","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2331664
"18389","Cylichnella occulta",2291626,"Cylichnella inculta (Gould, 1855)","species","SYNONYM","FUZZY","Cylichnella inculta",13,"Animalia","Mollusca","Cephalaspidea","Tornatinidae","Acteocina","Acteocina inculta",1,52,225,454,4599274,2291609,2291625,TRUE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2291625
"18445","Cyptodon serricatus",8406038,"Cryptodon serricatus Carpenter, 1864","species","SYNONYM","FUZZY","Cryptodon serricatus",0,"Animalia","Mollusca","Lucinida","Thyasiridae","Axinopsida","Axinopsida serricata",1,52,137,9306876,6843,2287508,2287516,TRUE,"Bivalvia","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2287516
"18468","Defl exilodes similis",2218821,"Deflexilodes similis Bousfield & Chevrier, 1996","species","ACCEPTED","FUZZY","Deflexilodes similis",54,"Animalia","Arthropoda","Amphipoda","Oedicerotidae","Deflexilodes","Deflexilodes similis",1,54,229,1231,8006,2218814,2218821,FALSE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=-25; status=1; singleMatch=5",NA
"18469","Defl exilodes tesselatus",2218820,"Deflexilodes tesselatus (Schneider, 1883)","species","ACCEPTED","FUZZY","Deflexilodes tesselatus",54,"Animalia","Arthropoda","Amphipoda","Oedicerotidae","Deflexilodes","Deflexilodes tesselatus",1,54,229,1231,8006,2218814,2218820,FALSE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=-25; status=1; singleMatch=5",NA
"18470","Defl exilodes tuberculatus",2218815,"Deflexilodes tuberculatus (Boeck, 1871)","species","ACCEPTED","FUZZY","Deflexilodes tuberculatus",54,"Animalia","Arthropoda","Amphipoda","Oedicerotidae","Deflexilodes","Deflexilodes tuberculatus",1,54,229,1231,8006,2218814,2218815,FALSE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=-25; status=1; singleMatch=5",NA
"18518","Dentalium hannai",8799946,"Dentalium canna (White, 1874)","species","ACCEPTED","FUZZY","Dentalium canna",9,"Animalia","Mollusca","Dentaliida","Prodentaliidae","Prodentalium","Dentalium canna",1,52,276,1152,4628565,4628566,8799946,FALSE,"Scaphopoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1",NA
"18519","Dentalium hannai",4953750,"Dentalium danai Meyer, 1885","species","ACCEPTED","FUZZY","Dentalium danai",9,"Animalia","Mollusca","Dentaliida","Dentaliidae","Dentalium","Dentalium danai",1,52,276,1152,3323,2284736,4953750,FALSE,"Scaphopoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1",NA
"18661","Discoporella crassiuscula",9478895,"Disporella crassiuscula (Smitt, 1867)","species","ACCEPTED","FUZZY","Disporella crassiuscula",74,"Animalia","Bryozoa","Cyclostomatida","Lichenoporidae","Disporella","Disporella crassiuscula",1,53,226,1497,9589,1004229,9478895,FALSE,"Stenolaemata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"18663","Discoporella hispida",1004241,"Disporella hispida (Fleming, 1828)","species","ACCEPTED","FUZZY","Disporella hispida",74,"Animalia","Bryozoa","Cyclostomatida","Lichenoporidae","Disporella","Disporella hispida",1,53,226,1497,9589,1004229,1004241,FALSE,"Stenolaemata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"18792","Echiurus lutkenii",9538729,"Echiurus luetkenii Diesing, 1859","species","SYNONYM","FUZZY","Echiurus luetkenii",13,"Animalia","Annelida","Echiuroidea","Echiuridae","Echiurus","Echiurus echiurus",1,42,256,8349555,6199,2508993,2508998,TRUE,"Polychaeta","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2508998
"18900","Erichthonius rubricornis",2219305,"Ericthonius rubricornis (Stimpson, 1853)","species","ACCEPTED","FUZZY","Ericthonius rubricornis",79,"Animalia","Arthropoda","Amphipoda","Ischyroceridae","Ericthonius","Ericthonius rubricornis",1,54,229,1231,7994,2219292,2219305,FALSE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"18901","Erichthonius rubricornis",11046777,"Ericthonius rubricornis Bousfield, 1973","species","SYNONYM","FUZZY","Ericthonius rubricornis",78,"Animalia","Arthropoda","Amphipoda","Ischyroceridae","Ericthonius","Ericthonius fasciatus",1,54,229,1231,7994,2219292,2219296,TRUE,"Malacostraca","Similarity: name=75; authorship=0; classification=-2; rank=5; status=0",2219296
"18952","Escharella porifera var. majuscula",11332418,"Escharella porifera f. minuscula Smitt, 1868","form","SYNONYM","FUZZY","Escharella porifera minuscula",6,"Animalia","Bryozoa","Cheilostomatida","Smittinidae","Smittina","Smittina minuscula",1,53,252,467,2764,1005416,1006913,TRUE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=-2; status=0; singleMatch=5",1006913
"19119","Eunephthea fruticosa",10396108,"Eunephthya fruticosa (Sars, 1860)","species","SYNONYM","FUZZY","Eunephthya fruticosa",80,"Animalia","Cnidaria","Alcyonacea","Nephtheidae","Gersemia","Gersemia fruticosa",1,43,206,1437,2263109,2263176,2263179,TRUE,"Anthozoa",NA,2263179
"19120","Eunephthea fruticosa",11241355,"Eunephthya fructicosa (Sars, 1860)","species","SYNONYM","FUZZY","Eunephthya fructicosa",73,"Animalia","Cnidaria","Alcyonacea","Nephtheidae","Gersemia","Gersemia fruticosa",1,43,206,1437,2263109,2263176,2263179,TRUE,"Anthozoa","Similarity: name=70; authorship=0; classification=-2; rank=5; status=0",2263179
"19507","Gofingia cantabriensis",2509777,"Golfingia cantabriensis Edmonds, 1960","species","SYNONYM","FUZZY","Golfingia cantabriensis",0,"Animalia","Sipuncula","Golfingiiformes","Golfingiidae","Golfingia","Golfingia margaritacea",1,74,159,539,7339,2509399,2509754,TRUE,"Sipunculidea","Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",7062993
"19889","Hebella pocillum",9611546,"Hebella pusilla Stechow, 1923","species","ACCEPTED","FUZZY","Hebella pusilla",14,"Animalia","Cnidaria","Leptothecata","Hebellidae","Hebella","Hebella pusilla",1,43,205,712,3975,2268083,9611546,FALSE,"Hydrozoa","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; nextMatch=5",NA
"19934","Hemithrysis psittacea",6549304,"Hemithyris psittacea (Gmelin, 1790)","species","SYNONYM","FUZZY","Hemithyris psittacea",68,"Animalia","Brachiopoda","Rhynchonellida","Hemithirididae","Hemithiris","Hemithiris psittacea",1,110,210,510,6310,2252909,2252911,TRUE,"Rhynchonellata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0",2252911
"19935","Hemithrysis psittacea",11370079,"Hemithyris psittacea (Gmelin, 1790)","species","SYNONYM","FUZZY","Hemithyris psittacea",68,"Animalia","Brachiopoda","Rhynchonellida","Hemithirididae","Hemithiris","Terebratula psitacea",1,110,210,510,6310,2252909,9393247,TRUE,"Rhynchonellata","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0",9393247
"20046","Hippolite sowerbei",5178658,"Hippolyte sowerbaei Leach, 1817","species","SYNONYM","FUZZY","Hippolyte sowerbaei",78,"Animalia","Arthropoda","Decapoda","Hippolytidae","Spirontocaris","Spirontocaris spinus",1,54,229,637,3869,2226295,2226301,TRUE,"Malacostraca","Similarity: name=70; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2226301
"20168","Hyale intermedia",10745935,"Hyalaea intermedia G.B.Sowerby II, 1877","species","ACCEPTED","FUZZY","Hyalaea intermedia",69,"Animalia","Mollusca","Pteropoda","Cavoliniidae","Cavolinia","Hyalaea intermedia",1,52,225,9697017,6525,11226316,10745935,FALSE,"Gastropoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1",NA
"20169","Hyale intermedia",2427598,"Hyla intermedia Boulenger, 1882","species","ACCEPTED","FUZZY","Hyla intermedia",69,"Animalia","Chordata","Anura","Hylidae","Hyla","Hyla intermedia",1,44,131,952,6735,2423589,2427598,FALSE,"Amphibia","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1",NA
"20177","Hyale spinosa",10914490,"Hyla spinosa Steindachner, 1864","species","SYNONYM","FUZZY","Hyla spinosa",73,"Animalia","Chordata","Anura","Hylidae","Triprion","Triprion spinosus",1,44,131,952,6735,2427666,10729529,TRUE,"Amphibia","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",10729529
"20260","Hyppolite gaimardii",6455546,"Hippolyte gaimardii H.Milne Edwards, 1837","species","SYNONYM","FUZZY","Hippolyte gaimardii",73,"Animalia","Arthropoda","Decapoda","Hippolytidae","Eualus","Eualus gaimardii",1,54,229,637,3869,2226489,2226509,TRUE,"Malacostraca","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2226509
"20399","Janua rugata",4308628,"Janua corrugata (Montagu, 1803)","species","SYNONYM","FUZZY","Janua corrugata",8,"Animalia","Annelida","Sabellida","Serpulidae","Spirorbis","Spirorbis corrugatus",1,42,256,1080,7086,2327769,5199960,TRUE,"Polychaeta","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",5199960
"20400","Janua rugata",4289347,"Janua corrugatus (Montagu, 1803)","species","SYNONYM","FUZZY","Janua corrugatus",8,"Animalia","Annelida","Sabellida","Serpulidae","Spirorbis","Spirorbis corrugatus",1,42,256,1080,7086,2327769,5199960,TRUE,"Polychaeta","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; 2 synonym homonyms; nextMatch=0",5199960
"20688","Lepralia plana",8211008,"Lepralia alata Busk, 1854","species","SYNONYM","FUZZY","Lepralia alata",8,"Animalia","Bryozoa","Cheilostomatida","Umbonulidae","Umbonula","Umbonula alvareziana",1,53,252,467,6892,1005241,7390786,TRUE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",7390786
